key	engine_type	model	gun_animation_table	missile_weapon	destruction_animation	destroyed_model	battle_entity	asset_folder	variant	draught_attachment_point	tech_folder	rider_attachment_point	destruct_model	destruct_anim	destruct_meta	audio_armour_type	riders_shoot_behaviour	scale	crew_reserve_distance_offset
#battlefield_engines_tables;24;db/battlefield_engines_tables/!!!!!!!2xunitsize_compat_!zfcr_unique_steam_tanks
dead_ksl_steamtank	Generic_No_Crew_Rotate	dead_ksl_steamtank	wm_steam_tank23			warmachines\engines\ksl_steam_tank\ksl_steam_tank_destroyed.rigid_model_v2	zfcr_emp_steam_tank_generic				warmachines/engines/emp_steam_tank23/tech						all_riders_shooting	0.8500	0
zfcr_emp_cha_volkmar_the_grim_4	Generic_No_Crew_Rotate	emp_war_altar_tank	wm_steam_tank23	zfcr_emp_war_altar_tank_cannon		warmachines\engines\emp_war_altar_tank\emp_war_altar_tank_01_destroyed.wsmodel	zfcr_emp_steam_tank_war_altar				warmachines\engines\emp_war_altar_tank\tech		warmachines\engines\emp_war_altar_tank\emp_war_altar_tank_01_destruct.wsmodel	warmachines/engines/emp_steam_tank/emp_steam_tank_destruct.anim	warmachines/engines/emp_steam_tank/emp_steam_tank_destruct.meta		all_riders_shooting	0.8500	0
zfcr_emp_veh_steam_tank_alter_kamerad	Generic_No_Crew_Rotate	emp_alter_kamerad	wm_steam_tank23_helblaster	zfcr_emp_alter_kamerad_volley_gun		warmachines\engines\emp_alter_kamerad\emp_alter_kamerad_01_destroyed.wsmodel	zfcr_emp_steam_tank_alter_kamerad				warmachines/engines/emp_steam_tank23/tech		warmachines\engines\emp_alter_kamerad\emp_alter_kamerad_01_destruct.wsmodel	warmachines/engines/emp_steam_tank/emp_steam_tank_destruct.anim	warmachines/engines/emp_steam_tank/emp_steam_tank_destruct.meta		all_riders_shooting	0.8500	0
zfcr_emp_veh_steam_tank_deliverance	Generic_No_Crew_Rotate	emp_deliverance	wm_steam_tank23	zfcr_emp_deliverance_flame_cannon		warmachines\engines\emp_deliverance\emp_deliverance_01_destroyed.wsmodel	zfcr_emp_steam_tank_deliverance				warmachines/engines/emp_steam_tank23/tech		warmachines\engines\emp_deliverance\emp_deliverance_01_destruct.wsmodel	warmachines/engines/emp_steam_tank/emp_steam_tank_destruct.anim	warmachines/engines/emp_steam_tank/emp_steam_tank_destruct.meta		all_riders_shooting	0.8500	0
zfcr_emp_veh_steam_tank_emperors_wrath	Generic_No_Crew_Rotate	emp_steam_tank_ror_0	wm_steam_tank01	zfcr_emp_steam_tank_cannon_ball_emperors_wrath		warmachines\engines\emp_steam_tank\emp_steam_tank_destroyed_emperors_wrath_01.wsmodel	wh_main_emp_veh_steam_tank				warmachines/engines/emp_steam_tank/tech		warmachines/engines/emp_steam_tank/emp_steam_tank_emperors_wrath_destruct.wsmodel	warmachines/engines/emp_steam_tank/emp_steam_tank_destruct.anim	warmachines/engines/emp_steam_tank/emp_steam_tank_destruct.meta		all_riders_shooting	0.8500	0
zfcr_emp_veh_steam_tank_implacable	Generic_No_Crew_Rotate	emp_implacable	wm_steam_tank23_mortar	zfcr_emp_implacable_mortar		warmachines\engines\emp_implacable\emp_implacable_01_destroyed.wsmodel	zfcr_emp_steam_tank_implacable				warmachines\engines\emp_implacable\tech		warmachines\engines\emp_implacable\emp_implacable_01_destruct.wsmodel	warmachines/engines/emp_steam_tank/emp_steam_tank_destruct.anim	warmachines/engines/emp_steam_tank/emp_steam_tank_destruct.meta		all_riders_shooting	0.8500	0
zfcr_emp_veh_steam_tank_invincible	Generic_No_Crew_Rotate	emp_invincible	wm_steam_tank23	zfcr_emp_invincible_cannon		warmachines\engines\emp_invincible\emp_invincible_01_destroyed.wsmodel	zfcr_emp_steam_tank_invincible				warmachines/engines/emp_steam_tank23/tech		warmachines\engines\emp_invincible\emp_invincible_01_destruct.wsmodel	warmachines/engines/emp_steam_tank/emp_steam_tank_destruct.anim	warmachines/engines/emp_steam_tank/emp_steam_tank_destruct.meta		all_riders_shooting	0.8500	0
zfcr_emp_veh_steam_tank_mount	Generic_No_Crew_Rotate	emp_steam_tank_mount	wm_steam_tank23	zfcr_emp_steam_tank_cannon		warmachines\engines\emp_steam_tank_mount\emp_steam_tank_mount01_destroyed.wsmodel	zfcr_emp_steam_tank_generic				warmachines\engines\emp_steam_tank_mount\tech		warmachines/engines/emp_steam_tank/emp_steam_tank_destruct.wsmodel	warmachines/engines/emp_steam_tank/emp_steam_tank_destruct.anim	warmachines/engines/emp_steam_tank/emp_steam_tank_destruct.meta		all_riders_shooting	0.8500	0
zfcr_emp_veh_steam_tank_patriarchs_storm	Generic_No_Crew_Rotate	emp_patriarchs_storm	wm_steam_tank23_helstorm	zfcr_emp_patriarchs_storm_rocket_battery		warmachines\engines\emp_unextinguishable\emp_unextinguishable_01_destroyed.wsmodel	zfcr_emp_steam_tank_patriarchs_storm				warmachines\engines\emp_unextinguishable\tech		warmachines\engines\emp_unextinguishable\emp_unextinguishable_01_destruct.wsmodel	warmachines/engines/emp_steam_tank/emp_steam_tank_destruct.anim	warmachines/engines/emp_steam_tank/emp_steam_tank_destruct.meta		all_riders_shooting	0.8500	0
zfcr_emp_veh_steam_tank_sigmars_hammer	Generic_No_Crew_Rotate	emp_sigmars_hammer	wm_steam_tank23			warmachines\engines\emp_sigmars_hammer\emp_sigmars_hammer_01_destroyed.wsmodel	zfcr_emp_steam_tank_sigmars_hammer				warmachines/engines/emp_steam_tank23/tech		warmachines\engines\emp_sigmars_hammer\emp_sigmars_hammer_01_destruct.wsmodel	warmachines/engines/emp_steam_tank/emp_steam_tank_destruct.anim	warmachines/engines/emp_steam_tank/emp_steam_tank_destruct.meta		all_riders_shooting	0.8500	0
zfcr_emp_veh_steam_tank_von_zeppels	Generic_No_Crew_Rotate	emp_von_zeppels	wm_steam_tank23			warmachines\engines\emp_von_zeppels\emp_von_zeppels_01_destroyed.wsmodel	zfcr_emp_steam_tank_von_zeppels				warmachines\engines\emp_von_zeppels\tech		warmachines\engines\emp_von_zeppels\emp_von_zeppels_01_destruct.wsmodel	warmachines/engines/emp_steam_tank/emp_steam_tank_destruct.anim	warmachines/engines/emp_steam_tank/emp_steam_tank_destruct.meta		all_riders_shooting	0.8500	0
zfcr_skv_veh_steam_tank_rat_tank	Generic_No_Crew_Rotate	skv_rat_tank	wm_steam_tank23	zfcr_skv_rat_tank_warp_lightning		warmachines\engines\skv_rat_tank\skv_rat_tank_01_destroyed.wsmodel	zfcr_skv_steam_tank_rat_tank				warmachines/engines/emp_steam_tank23/tech		warmachines\engines\skv_rat_tank\skv_rat_tank_01_destruct.wsmodel	warmachines/engines/emp_steam_tank/emp_steam_tank_destruct.anim	warmachines/engines/emp_steam_tank/emp_steam_tank_destruct.meta		all_riders_shooting	0.8500	0
