key	engine_type	model	gun_animation_table	missile_weapon	destruction_animation	destroyed_model	battle_entity	asset_folder	variant	draught_attachment_point	tech_folder	rider_attachment_point	destruct_model	destruct_anim	destruct_meta	audio_armour_type	riders_shoot_behaviour	scale	crew_reserve_distance_offset
#battlefield_engines_tables;24;db/battlefield_engines_tables/!!!!!!!2xunitsize_compat_cf-Ksl-units
cf_big_brass_cannon	Generic_3_Crew	cf_big_brass_cannon	wm_great_cannon01	cf_big_brass_cannon	emp_great_cannon	warmachines/engines/emp_great_cannon/cf_ksl_big_brass_cannon_destroyed.rigid_model_v2	cf_big_brass_cannon									war_machine_metal	all_riders_shooting	2.2500	0
cf_dazh_fire_rockets	Generic_3_Crew	cf_dazh_fire_rockets	wm_helstorm01	cf_dazh_fire_rockets_weapon	emp_helstorm_destruct	warmachines/engines/emp_helstorm/cf_dazh_fire_rockets_destroyed.wsmodel	wh_main_emp_art_helstorm									war_machine_metal	all_riders_shooting	1.0000	0
cf_erengrad_cannon	Generic_3_Crew	cf_erengrad_cannon	wm_great_cannon01	cf_erengrad_cannon	emp_great_cannon	warmachines/engines/emp_great_cannon/cf_ksl_great_cannon_destroyed.wsmodel	wh_main_emp_art_great_cannon									war_machine_metal	all_riders_shooting	1.2500	0
cf_ksl_axe_thrower	Generic_2_Crew	cf_ksl_axe_thrower	cf_ksl_axe_thrower	cf_ksl_axe_thrower	cf_ksl_axe_thrower_destruct	warmachines/engines/dwf_goblin_hewer/cf_ksl_axe_thrower.rigid_model_v2	wh3_dlc25_dwf_art_goblin_hewer				warmachines\engines\dwf_goblin_hewer\tech\					war_machine_metal	all_riders_shooting	1.0000	0
cf_praag_cannons	Generic_3_Crew	cf_praag_cannons	wm_organ_gun01	cf_praag_cannons	dwf_organ_gun_destruct	warmachines/engines/dwf_organ_gun/cf_praag_cannons_destroyed.wsmodel	wh_main_dwf_art_organ_gun									war_machine_metal	all_riders_shooting	1.0000	0
cf_tor_mortar	Generic_3_Crew	cf_tor_mortar	wm_mortar01	cf_tor_mortar	cf_tor_mortar_destruct	warmachines/engines/emp_mortar/cf_tor_mortar_destroyed.wsmodel	wh_main_emp_art_mortar									war_machine_metal	all_riders_shooting	1.0000	0
wh3_main_ksl_veh_little_grom_ice	Generic_No_Crew_Fixed	ksl_little_grom_01	wm_wh3_little_grom01	wh3_main_ksl_little_grom_cannon_ball_ice	ksl_little_grom_01_destruct	warmachines/engines/ksl_little_grom/ksl_little_grom_01_destroyed.wsmodel	wh3_main_vehicle_little_grom			ap_draughtposition	warmachines/engines/ksl_little_grom/tech/						all_riders_shooting	1.0000	0
wh3_main_ksl_veh_little_grom_mortar	Generic_No_Crew_Fixed	ksl_little_grom_mortar_01	wm_wh3_little_grom01	wh3_main_ksl_little_grom_mortar	ksl_little_grom_01_destruct	warmachines/engines/ksl_little_grom/ksl_little_grom_01_destroyed.wsmodel	wh3_main_vehicle_little_grom			ap_draughtposition	warmachines/engines/ksl_little_grom/tech/						all_riders_shooting	1.0000	0
wh3_main_ksl_veh_little_grom_rocket	Generic_No_Crew_Fixed	ksl_little_grom_rockets_01	wm_wh3_little_grom01	wh3_main_ksl_little_grom_rockets	ksl_little_grom_01_destruct	warmachines/engines/ksl_little_grom/ksl_little_grom_01_destroyed.wsmodel	wh3_main_vehicle_little_grom			ap_draughtposition	warmachines/engines/ksl_little_grom/tech/						all_riders_shooting	1.0000	0
