key	destroyed_model	destruction_animation	engine_type	gun_animation_table	missile_weapon	model	battle_entity	asset_folder	variant	draught_attachment_point	tech_folder	rider_attachment_point	destruct_model	destruct_anim	destruct_meta	audio_armour_type	riders_shoot_behaviour	scale	crew_reserve_distance_offset
#battlefield_engines_tables;24;db/battlefield_engines_tables/!!!!!!!2xunitsize_compat_pwner1_wh3_ete_unit_pack
wh2_main_skv_art_plagueclaw_catapult_ete	warmachines/engines/skv_plagueclaw/skv_plagueclaw_01_destroyed.rigid_model_v2	skv_plagueclaw_catapult_destruct	Generic_3_Crew	wm_plagueclaw_catapult01	wh2_main_skv_plagueclaw_catapult	skv_plagueclaw_catapult	wh2_main_skv_art_plagueclaw_catapult										all_riders_shooting	1.0000	0.0000
wh2_main_skv_art_warplightning_cannon_ete	warmachines\engines\skv_lightning_cannon\skv_lightning_cannon_01_destroyed.rigid_model_v2	skv_lightning_cannon_destruct	Generic_3_Crew	wm_lightning_cannon01	wh2_main_skv_warp_lightning	skv_lightning_cannon	wh2_main_skv_art_warp_lightning_cannon									war_machine_metal	all_riders_shooting	1.0000	0.0000
wh3_dlc23_chd_veh_deathshrieker_rocket_launcher_flame	warmachines\engines\chd_deathshrieker\chd_deathshrieker_flame_01_destroyed.wsmodel	chd_deathshrieker_ror_destruct	Generic_No_Crew_Fixed	wm_dlc23_cannon02_deathshrieker	wh3_dlc23_chd_veh_deathshrieker_rocket_primary	chd_deathshrieker_ror	wh3_dlc23_chd_veh_deathshrieker_rocket_launcher_ete			ap_draughtposition	warmachines/engines/chd_deathshrieker/tech/	ap_crewposition	warmachines/engines/chd_deathshrieker/chd_deathshrieker_01_destruct.wsmodel	warmachines/engines/chd_magma_cannon/chd_magma_cannon_01_destruct.anim		heavy_metal	all_riders_shooting	1.0000	0.0000
wh3_dlc23_chd_veh_dreadquake_flame	warmachines\engines\chd_dreadquake\chd_dreadquake_mortar_flame_destroyed_01.wsmodel	chd_dreadquake_ror_destruct	Generic_No_Crew_Rotate	wm_dlc23_dreadquake01		chd_dreadquake_ror	wh3_dlc23_chd_veh_dreadquake_mortar_chassis_ete				warmachines/engines/chd_dreadquake/tech/	ap_turret	warmachines\engines\chd_dreadquake\chd_dreadquake_mortar_destruct_01.wsmodel	warmachines\engines\chd_dreadquake\chd_dreadquake_mortar_destruct_01.anim		heavy_metal	all_riders_shooting	1.0000	0.0000
wh3_dlc23_chd_veh_magma_cannon_flame	warmachines\engines\chd_magma_cannon\chd_magma_cannon_flame_01_destroyed.wsmodel	chd_magma_cannon_ror_destruct	Generic_No_Crew_Fixed	wm_dlc23_cannon02_magma_cannon	wh3_dlc23_chd_veh_magma_cannon_ball_primary	chd_magma_cannon_ror	wh3_dlc23_chd_veh_magma_cannon_ete				warmachines/engines/chd_deathshrieker/tech/	ap_crewposition	warmachines/engines/chd_magma_cannon/chd_magma_cannon_01_destruct.wsmodel	warmachines/engines/chd_magma_cannon/chd_magma_cannon_01_destruct.anim		heavy_metal	all_riders_shooting	1.0000	0.0000
wh3_dlc25_dwf_art_goblin_hewer_ete	warmachines\engines\dwf_goblin_hewer\dwf_goblin_hewer_01_destroyed.wsmodel	dwf_goblin_hewer_destruct	Generic_2_Crew	wm_dlc25_hewer01	wh3_dlc25_dwf_goblin_hewer_axe_flaming	dwf_goblin_hewer	wh3_dlc25_dwf_art_goblin_hewer				warmachines\engines\dwf_goblin_hewer\tech\		warmachines\engines\dwf_goblin_hewer\dwf_goblin_hewer_01_destruct.wsmodel	warmachines\engines\dwf_goblin_hewer\dwf_goblin_hewer_01_destruct.anim		war_machine_metal	all_riders_shooting	1.0000	0.0000
wh3_dlc27_sla_seeker_chariot_ror_ete	warmachines\chariot\dae_seeker_chariot\dae_seeker_chariot_excess_1_destroyed.wsmodel	dae_seeker_chariot_excess_01_destruct_ror	Generic_No_Crew_Rotate	wm_wh3_seeker_chariot01		dae_seeker_chariot_excess_1_ror	wh3_main_vehicle_sla_exalted_seeker_chariot			ap_draughtposition	warmachines\chariot\dae_seeker_chariot\tech\	ap_crewposition					all_riders_shooting	1.0000	0.0000
wh_dlc06_dwf_art_grudge_thrower_gob_lobber_ete	warmachines\engines\dwf_grudge_thrower\dwf_grudge_thrower_gob_destroyed.wsmodel	dwf_grudge_thrower_destruct	Generic_3_Crew	wm_grudge_thrower	wh_main_dwf_grudge_thrower_penetrating	dwf_grudge_thrower_gob	wh_main_dwf_art_grudge_thrower						warmachines/engines/dwf_grudge_thrower/dwf_grudge_thrower_gob_destruct.wsmodel	warmachines/engines/dwf_grudge_thrower/dwf_grudge_thrower_destruct.anim		war_machine_metal	all_riders_shooting	1.0000	0.0000
wh_main_dwf_art_organ_gun_ete	warmachines\engines\dwf_organ_gun\dwf_organ_gun_destroyed_01.rigid_model_v2	dwf_organ_gun_destruct	Generic_3_Crew	wm_organ_gun01	wh_main_dwf_organ_gun_penetrating	dwf_organ_gun	wh_main_dwf_art_organ_gun_ete									war_machine_metal	all_riders_shooting	1.0000	0.0000
