key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person	ar_unit_category	healing_power	spell_mastery	infinite_secondary_ammo	default_guard_mode
#land_units_tables;54;db/land_units_tables/!!!!!!!2xunitsize_compat_!!_sartosa_overhaul
cathay_pirate_bombard	10	wh2_main_leather_15	2100	artillery	8	art_fld	wh3_main_unit_long_text_cth_art_grand_cannon_0	hu1_empire_helstorm_crew	wh3_main_cth_artillery_crew	14	10	50	48		4	wh_dlc04_emp_free_company_sword		5	none	wh3_main_unit_short_text_cth_art_grand_cannon_0	wh_main_artillery	trained		cathay_pirate_bombard	true	40.0000	1500.0000	wh_main_emp_art_great_cannon	60	80	0	vo_sel_cth_grand_cannon	vo_sel_artillery	vo_sel_culture	1.0000	aquatic_small	0	22	0	0	8	0	0	0	ranged_direct_arty	false	false	false	false	medium	medium	domination_artillery		wh3_main_cth_art_grand_cannon	artillery	1.0000	1.0000	false	false
cathay_pirate_crossbows	10	wh2_main_leather_15	2100	inf_ranged	10	inf_mis	wh2_dlc11_unit_long_text_cst_sartosa_free_company	hu1_empire_sword_crossbow	wh_dlc04_infantry_free_company_blood_dismembers	24	20	55	53		0	wh_dlc04_emp_free_company_sword	cathay_pirate_crossbow	12	none	wh2_dlc11_unit_short_text_cst_sartosa_free_company	wh_main_infantry_rabble	trained			true	40.0000	1500.0000	wh2_dlc11_cst_inf_sartosa_free_company_0	60	80	10	vo_sel_default	vo_sel_ranged	vo_sel_generic	1.0000	aquatic_small	0	120	0	0	0	0	0	0	ranged	true	true	false	false	medium	medium	domination_infantry			archer	1.0000	1.0000	false	false
cathay_pirate_dual_swords	0	wh2_main_leather_15	2100	inf_melee	20	inf_mel	wh2_dlc11_unit_long_text_cst_sartosa_free_company	hu1_sartosa_free_company	wh_dlc04_infantry_free_company_blood_dismembers	28	30	60	58		0	wh2_dlc11_cst_dual_swords_sartosa		12	none	wh2_dlc11_unit_short_text_cst_sartosa_free_company	wh_main_infantry_rabble	trained			true	40.0000	1500.0000	wh2_dlc11_cst_inf_sartosa_free_company_0	60	80	10	vo_sel_default	vo_sel_generic	vo_sel_culture	1.0000	aquatic_small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry			melee	1.0000	1.0000	false	false
cathay_pirate_fire_rain_rocket_battery	10	wh2_main_leather_15	2100	artillery	8	art_fld	wh3_main_unit_long_text_cth_art_fire_rain_rocket_battery_0	hu1_empire_helstorm_crew	wh3_main_cth_artillery_crew	14	10	50	48		4	wh_dlc04_emp_free_company_sword		5	none	wh3_main_unit_short_text_cth_art_fire_rain_rocket_battery_0	wh_main_artillery	trained		cathay_pirate_fire_rain_rocket_battery	true	40.0000	1500.0000	wh_main_emp_art_great_cannon	60	80	0	vo_sel_cth_rocket_battery	vo_sel_artillery	vo_sel_culture	1.0000	aquatic_small	0	84	0	0	8	0	0	0	ranged_indirect_arty	false	false	false	false	medium	medium	domination_artillery		wh3_main_cth_art_fire_rain_rocket_battery	artillery	1.0000	1.0000	false	false
infanta_leanora_navrre	10	wh2_main_body_75	2100	war_beast	20	com	mixu_cst_cha_drekla	hu1_cst_zombie_gi2_colossus_wb_crew_1	wh2_dlc11_cst_mon_necrofex_colossus_ror	52	43	75	18966		1	wh_main_vmp_sword_hero_vampire		2	none	mixu_cst_cha_drekla	wh_main_monster	trained			true	40.0000	1500.0000	mixu_LL_lord_undead	60	80	18	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	large	70	88	0	0	0	0	15	0	melee_gatecrusher	false	false	false	false	medium	medium	domination_characters				1.0000	1.0000	false	false
mixu_cst_cha_drekla	10	wh2_main_plate_70	2100	inf_melee	35	com	mixu_cst_cha_drekla	hu1_empire_sword_and_shield	wh_main_infantry_standard_fast_hero_blood_dismembers	65	45	80	8120		0	wh_main_vmp_sword_hero_vampire		2	none	mixu_cst_cha_drekla	wh_main_infantry	trained			true	40.0000	1500.0000	mixu_LL_lord_undead	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	aquatic_small	0	0	0	0	0	0	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters				1.0000	1.0000	false	false
ogg	10	wh2_main_heavy_metal_90	2100	inf_melee	50	com	mixu_cst_cha_drekla	hu13_wh3_ogre_2handed_hammer	wh3_main_ogr_monster_ogre_hero_blood	63	40	75	14000		0	wh_main_vmp_sword_hero_vampire		2	none	mixu_cst_cha_drekla	wh_main_monstrous_trolls	trained			true	40.0000	1500.0000	mixu_LL_lord_undead	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	large	0	0	0	0	0	0	15	0	melee_gatecrusher_highvalue	false	true	false	false	high	high	domination_characters				1.0000	1.0000	false	false
sartosa_buccaneer_deck_gun_weapon_team	10	wh2_main_leather_35	2100	inf_ranged	6	inf_mis	wh_main_unit_long_text_dwf_irondrakes	hu3_dwarf_drakegun	wh_main_dwf_inf_dwarfs_irondrake_blood_dismembers	20	16	60	120		0	wh_main_dwf_drakegun	sartosa_buccaneer_deck_gun	6	none	sartosa_buccaneer_deck_gun_weapon_team	wh_dlc08_nor_infantry_berserkers	trained			true	60.0000	300.0000	sartosa_buccaneer_deck_gun_weapon_team	60	80	0	vo_sel_irondrakes	vo_sel_ranged	vo_sel_generic	1.0000	aquatic_small	0	126	0	35	0	0	0	0	ranged_direct_no_skirmish	false	false	false	false	medium	medium	domination_infantry			archer	1.0000	1.0000	false	false
sartosa_buccaneer_deck_gun_weapon_team_ror	10	wh2_main_leather_35	2100	inf_ranged	6	inf_mis	wh_main_unit_long_text_dwf_irondrakes	hu3_dwarf_drakegun	wh_main_dwf_inf_dwarfs_irondrake_blood_dismembers	27	24	70	120		0	wh_main_dwf_drakegun	sartosa_buccaneer_deck_gun_ror	6	none	sartosa_buccaneer_deck_gun_weapon_team_ror	wh_dlc08_nor_infantry_berserkers	trained			true	60.0000	300.0000	sartosa_buccaneer_deck_gun_weapon_team_ror	60	80	0	vo_sel_irondrakes	vo_sel_ranged	vo_sel_generic	1.0000	aquatic_small	0	54	0	35	0	0	0	0	ranged_direct_no_skirmish	false	false	false	false	medium	medium	domination_infantry			archer	1.0000	1.0000	false	false
