unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;7;db/main_units_tables/!!!!!!!2xunitsize_compat_gra_knightly_orders
wh2_dlc13_emp_cav_empire_knights_ror_1		-1	missile_cavalry	1	false	wh2_dlc13_emp_cav_empire_knights_ror_1	120	1	1100	wh_main_shp_transport	1	1	60	1100	275	medium		0	true	wh_vo_actor_silent	missile_cavalry_bow	3	false	emp_reiksguard		false		800.0000	525.0000	false	vo_culture_None	false	wh_vo_actor_silent	0	false	false	1	false	false		0.0000	true	1	false
wh_dlc04_emp_cav_knights_blazing_sun_0		-1	melee_cavalry	2	false	wh_dlc04_emp_cav_knights_blazing_sun_0	120	0	1100	wh_main_shp_transport	1	1	30	1100	275	medium		0	true	wh_main_vo_culture_Empire	shock_cavalry	3	false	emp_reiksguard		false		1150.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	6	false	false		0.0000	true	1	false
wh_main_emp_cav_black_guard_0		-1	missile_cavalry	2	false	wh_main_emp_cav_black_guard_0	120	0	1100	wh_main_shp_transport	1	1	60	1100	275	medium		0	false	wh_vo_actor_silent	missile_cavalry_bow	3	false	emp_reiksguard		false		800.0000	525.0000	false	vo_culture_None	false	wh_vo_actor_silent	0	false	false	6	false	false		0.0000	true	1	false
wh_main_emp_cav_everlasting_light_0		-1	melee_cavalry	2	false	wh_main_emp_cav_everlasting_light_0	120	0	1100	wh_main_shp_transport	1	1	60	1100	275	medium		0	false	wh_main_vo_culture_Empire	shock_cavalry	3	false	emp_reiksguard		false		1150.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	6	false	false		0.0000	true	1	false
wh_main_emp_cav_fellwolf_brotherhood_0		1	melee_cavalry	2	false	wh_main_emp_cav_fellwolf_brotherhood_0	120	1	1500	wh_main_shp_transport	1	1	60	1500	375	medium		0	false	wh_main_vo_culture_Empire	cavalry	3	false	emp_reiksguard		false		1500.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	1	false	false		0.0000	true	1	false
wh_main_emp_cav_fiery_heart_0		-1	melee_cavalry	2	false	wh_main_emp_cav_fiery_heart_0	120	0	1250	wh_main_shp_transport	1	1	60	1250	312	medium		0	false	wh_main_vo_culture_Empire	cavalry	3	false	emp_reiksguard		false		1250.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	6	false	false		0.0000	true	1	false
wh_main_emp_cav_knights_bull_0		-1	melee_cavalry	2	false	wh_main_emp_cav_knights_bull_0	120	0	1100	wh_main_shp_transport	1	1	60	1100	275	medium		0	false	wh_main_vo_culture_Empire	cavalry	3	false	emp_reiksguard		false		1150.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	6	false	false		0.0000	true	1	false
wh_main_emp_cav_knights_griffon_0		-1	melee_cavalry	2	false	wh_main_emp_cav_knights_griffon_0	120	0	1250	wh_main_shp_transport	1	1	60	1250	312	medium		0	false	wh_main_vo_culture_Empire	cavalry	3	false	emp_reiksguard		false		1250.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	6	false	false		0.0000	true	1	false
wh_main_emp_cav_knights_panther_0		-1	melee_cavalry	2	false	wh_main_emp_cav_knights_panther_0	120	0	1100	wh_main_shp_transport	1	1	60	1100	275	medium		0	false	wh_main_vo_culture_Empire	shock_cavalry	3	false	emp_reiksguard		false		1150.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	6	false	false		0.0000	true	1	false
wh_main_emp_cav_knights_raven_0		-1	missile_cavalry	2	false	wh_main_emp_cav_knights_raven_0	120	0	1100	wh_main_shp_transport	1	1	60	1100	250	medium		0	false	wh_vo_actor_silent	missile_cavalry_bow	3	false	emp_reiksguard		false		800.0000	525.0000	false	vo_culture_None	false	wh_vo_actor_silent	0	false	false	6	false	false		0.0000	true	1	false
wh_main_emp_cav_sacred_scythe_0		-1	melee_cavalry	2	false	wh_main_emp_cav_sacred_scythe_0	120	0	1250	wh_main_shp_transport	1	1	60	1250	312	medium		0	false	wh_vo_actor_silent	cavalry	3	false	emp_reiksguard		false		1250.0000	0.0000	false	vo_culture_None	false	wh_vo_actor_silent	0	false	false	6	false	false		0.0000	true	1	false
wh_main_emp_cav_white_wolf_0		-1	melee_cavalry	2	false	wh_main_emp_cav_white_wolf_0	120	0	1250	wh_main_shp_transport	1	1	60	1250	312	medium		0	false	wh_main_vo_culture_Empire	cavalry	3	false	emp_reiksguard		false		1250.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	6	false	false		0.0000	true	1	false
wh_main_emp_inf_black_guard_0		-1	melee_infantry	2	false	wh_main_emp_inf_black_guard_0	240	0	950	wh_main_shp_transport	1	1	100	950	225	medium		0	false	wh_vo_actor_silent	infantry_spear_halberd	3	false	emp_soldier_15_degrees		false		950.0000	0.0000	false	vo_culture_None	false	wh_vo_actor_silent	0	false	false	6	false	false		0.0000	true	1	false
wh_main_emp_inf_brotherhood_axe_0		1	melee_infantry	2	false	wh_main_emp_inf_brotherhood_axe_0	240	1	1100	wh_main_shp_transport	1	1	100	1100	275	medium		0	false	wh_main_vo_culture_Empire	infantry_axe_great	3	false	emp_soldier_30_degrees		false		1100.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	1	false	false		0.0000	true	1	false
wh_main_emp_inf_knights_raven_0		-1	missile_infantry	2	false	wh_main_emp_inf_knights_raven_0	180	0	900	wh_main_shp_transport	1	1	100	900	225	medium		0	false	wh_vo_actor_silent	missile_infantry_bow	3	false	emp_soldier_15_degrees		false		800.0000	525.0000	false	vo_culture_None	false	wh_vo_actor_silent	0	false	false	6	false	false		0.0000	true	1	false
wh_main_emp_inf_reiksguard_0		-1	melee_infantry	2	false	wh_main_emp_inf_reiksguard_0	240	0	900	wh_main_shp_transport	1	1	100	900	225	medium		0	false	wh_main_vo_culture_Empire	infantry_sword	2	false	emp_soldier_15_degrees		false		900.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	6	false	false		0.0000	true	1	false
wh_main_emp_inf_teutogen_guard_0		-1	melee_infantry	2	false	wh_main_emp_inf_teutogen_guard_0	240	0	900	wh_main_shp_transport	1	1	100	900	225	medium		0	false	wh_main_vo_culture_Empire	infantry_hammer_great	3	false	emp_soldier_30_degrees		false		900.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	6	false	false		0.0000	true	1	false
