key	precursor	default_projectile	audio_type	use_secondary_ammo_pool	hide_secondary_range_ammo_statistics_ui
#missile_weapons_tables;12;db/missile_weapons_tables/!!!!!!!2xunitsize_compat_!zfcr_unique_steam_tanks
zfcr_emp_alter_kamerad_volley_gun	false	zfcr_emp_alter_kamerad_helblaster_bullet	gatling_gun	false	false
zfcr_emp_deliverance_flame_cannon	false	zfcr_emp_deliverance_flame_cannon	flame_cannon	false	false
zfcr_emp_implacable_mortar	false	zfcr_emp_implacable_mortar_shell	mortar	false	false
zfcr_emp_invincible_cannon	false	zfcr_emp_invincible_cannon_ball	cannon	false	false
zfcr_emp_patriarchs_storm_rocket_battery	false	zfcr_emp_patriarchs_storm_rocket	rocket_battery	false	false
zfcr_emp_steam_tank_cannon	false	zfcr_emp_steam_tank_cannon_ball	cannon	false	false
zfcr_emp_steam_tank_cannon_ball_emperors_wrath	false	wh2_dlc13_emp_steam_tank_cannon_ball_emperors_wrath	cannon	false	false
zfcr_emp_war_altar_tank_cannon	false	zfcr_emp_war_altar_tank_ball_hammer_witches	cannon	false	false
zfcr_skv_rat_tank_warp_lightning	false	zfcr_skv_rat_tank_warp_lightning		false	false
