key	precursor	default_projectile	audio_type	use_secondary_ammo_pool	hide_secondary_range_ammo_statistics_ui
#missile_weapons_tables;12;db/missile_weapons_tables/!!!!!!!2xunitsize_compat_DEER24Cathay
wh3_cth_YUEGONGBOW	false	wh3_cth_YUEGONGBOW	bow	false	false
wh3_cth_jade_SHUANGYAN	false	wh3_deer24_SHUANGYAN	hand_cannon	false	false
wh3_cth_jade_TIEWEI	false	wh3_cth_jade_TIEWEI	hand_cannon	false	false
wh3_cth_jade_hail_gun	false	wh3_deer24_XIANDAN	hand_cannon	false	false
wh3_cth_lihuayu	false	wh3_cth_lihuayu	grenade_launcher	false	false
wh3_cth_penhuobing	false	wh3_cth_penhuobing	drakegun	false	false
wh3_deer24_HUREN3	false	wh3_deer24_HUREN3	wh3_cp1_throwing_disc	false	false
wh3_deer24_baishe	false	wh3_deer24_baishe	wh2_dlc14_medusa_gaze	false	false
wh3_deer24_bianjun_1	false	wh3_deer24_bianjun_1	bow	false	false
wh3_deer24_jinhunqilin	false	wh3_deer24_jinhunqilin	bow_LH	false	false
wh3_deer24_lvqiling_miss	false	wh3_deer24_lvqiling_miss	bow_LH	false	false
wh3_main_cth_grand_xuanwu	false	wh3_main_cth_grand_xuanwu	grand_cannon	false	false
wh3_main_cth_xia	false	wh3_main_cth_xia	crossbow	false	false
wwd_jinjun_east_chaoting	false	wwd_jinjun_east_chaoting	crossbow	false	false
wwd_weibeishengbing	false	wwd_weibeishengbing	bow	false	false
wwd_xiaoyong_bow	false	wwd_xiaoyong_bow	bow	false	false
