key	precursor	default_projectile	audio_type	use_secondary_ammo_pool	hide_secondary_range_ammo_statistics_ui
#missile_weapons_tables;12;db/missile_weapons_tables/!!!!!!!2xunitsize_compat_Trajanns_Khorne_Compilation
SoulGrinderRORZ	true	SoulGrinderRORZ	cannon	false	false
eku_heavy_war_sled	false	eku_heavy_war_sled	repeater_gun	false	false
eku_thundertusk_missile	false	eku_thundertusk_missile		false	false
kho_skaven_globe	false	kho_skaven_globe		false	false
kho_skaven_mortar	false	kho_skaven_mortar	poison_wind_mortar	false	false
kho_skaven_ratling_gun_bullet	false	kho_skaven_ratling_gun_bullet	wh2_dlc12_ratling_gun	false	false
kho_skaven_warp_jezzails	false	kho_skaven_warp_jezzails	wh2_dlc12_warplock_jezzails	false	false
kho_skaven_warpfire	false	kho_skaven_warpfire	warpfiregun	false	false
traj_aspiring_pistol	false	traj_aspiring_pistol	hand_cannon	false	false
traj_aspiring_pistol_ror	false	traj_aspiring_pistol_ror	hand_cannon	false	false
traj_assassin	false	traj_assassin		false	false
traj_azrakaar_pistol	false	traj_azrakaar_pistol_single	blunderbuss	false	false
traj_bloodseeker	false	traj_bloodseeker	crossbow	false	false
traj_bloodstalker	false	traj_bloodstalker	crossbow	false	false
traj_bloodstalker_ror	false	traj_bloodstalker_ror	crossbow	false	false
traj_khazdrakk_basic_rifle	false	traj_khazdrakk_basic_rifle	wh3_dlc23_fireglaive_LH	false	false
traj_khazdrakk_ror	false	traj_khazdrakk_ror	wh3_dlc23_fireglaive_LH	false	false
traj_kho_bastiladon_engine	false	traj_kho_bastiladon_engine		false	false
traj_kho_bastiladon_engine_ror	false	traj_kho_bastiladon_engine_ror		false	false
traj_kho_cav_outrider	false	traj_kho_cav_outrider	repeater_rifle	false	false
traj_kho_cygor	false	traj_kho_cygor		false	false
traj_kho_dread_maw	false	traj_kho_dread_maw		false	false
traj_kho_dwarf_deathshrieker_rocket_launcher	false	traj_kho_dwarf_deathshrieker_rocket_launcher	rocket_battery	false	false
traj_kho_dwarf_dreadquake_mortar_ror	false	traj_kho_dwarf_dreadquake_mortar_ror	magma_cannon	false	false
traj_kho_dwarf_infernal_guard_blunderbusses	false	traj_kho_dwarf_infernal_guard_blunderbusses	blunderbuss	false	false
traj_kho_dwarf_infernal_guard_fireglaives	false	traj_kho_dwarf_infernal_guard_fireglaives	wh3_dlc23_fireglaive	false	false
traj_kho_dwarf_infernal_guard_fireglaives_ror	false	traj_kho_dwarf_infernal_guard_fireglaives_ror	wh3_dlc23_fireglaive	false	false
traj_kho_dwarf_infernal_ironsworn_blood_raker	false	traj_kho_dwarf_infernal_ironsworn_blood_raker	blunderbuss	false	false
traj_kho_dwarf_infernal_ironsworn_flame_cannon	false	traj_kho_dwarf_infernal_ironsworn_flame_cannon	drakegun	false	false
traj_kho_dwarf_infernal_ironsworn_heavy_fireglaives	false	traj_kho_dwarf_infernal_ironsworn_heavy_fireglaives	wh3_dlc23_fireglaive	false	false
traj_kho_dwarf_infernal_ironsworn_sniper_fireglaives	false	traj_kho_dwarf_infernal_ironsworn_sniper_fireglaives	wh3_dlc23_fireglaive	false	false
traj_kho_dwarf_iron_daemon_flamethrower	false	traj_kho_dwarf_iron_daemon_flamethrower	wh3_dlc23_iron_daemon_flamethrower	false	false
traj_kho_inf_crane_gunner	false	traj_kho_inf_crane_gunner	iron_hail_gunner	false	false
traj_kho_inf_ice_guard_bow	false	traj_kho_inf_ice_guard_bow	bow	false	false
traj_kho_medusa	false	traj_kho_medusa	wh2_dlc14_medusa_gaze	false	false
traj_kho_razordon_ancient	false	traj_kho_razordon_ancient	razordon_spike	false	false
traj_kho_razordon_ancient_ror	false	traj_kho_razordon_ancient_ror	razordon_spike	false	false
traj_kho_razordon_small	false	traj_kho_razordon_small	razordon_spike	false	false
traj_kho_salamander	false	traj_kho_salamander		false	false
traj_kho_salamander_small	false	traj_kho_salamander_small		false	false
traj_kho_salamander_small_ror	false	traj_kho_salamander_small_ror		false	false
traj_kho_skaven_warlock	false	traj_kho_skaven_warlock	wh2_dlc12_ikit_warpfiregun	false	false
traj_kho_skaven_warlock_mortar_ror	false	traj_kho_skaven_warlock_mortar_ror	poison_wind_mortar	false	false
traj_kho_skink_cohort	false	traj_kho_skink_cohort	javelin	false	false
traj_kho_skink_skirmish	false	traj_kho_skink_skirmish	blowpipe	false	false
traj_kho_skink_skirmish_ror	false	traj_kho_skink_skirmish_ror	blowpipe	false	false
traj_kho_skink_stalker	true	traj_kho_skink_stalker	blowpipe	false	false
traj_kho_skycutter_bows	false	traj_kho_skycutter_bows	bow	false	false
traj_kho_steam_tank_cannon	false	traj_kho_steam_tank_cannon	gatling_gun	false	false
traj_kho_stegadon_blowpipe	false	traj_kho_stegadon_blowpipe		false	false
traj_kho_stegadon_cannon	false	traj_kho_stegadon_cannon		false	false
traj_kho_terradon	false	traj_kho_terradon	javelin	false	false
traj_kho_terradon_ror	false	traj_kho_terradon_ror	javelin	false	false
traj_kho_thunderbarge_bomb	false	traj_kho_thunderbarge_bomb		false	false
traj_kho_troglodon	false	traj_kho_troglodon		false	false
traj_kho_troglodon_ror	false	traj_kho_troglodon_ror		false	false
