key	precursor	default_projectile	audio_type	use_secondary_ammo_pool	hide_secondary_range_ammo_statistics_ui
#missile_weapons_tables;12;db/missile_weapons_tables/!!!!!!!2xunitsize_compat_ab_unwashed_masses
gnob_bloodnose_throwing_dagger	false	gnob_bloodnose_throwing_dagger		false	false
gnob_gorespittles_throwing_axe	false	gnob_gorespittles_throwing_axe		false	false
gnob_pigback_riders_javelin	false	gnob_pigback_riders_javelin		false	false
gnob_powder_sniffers_grenade	false	gnob_powder_sniffers_grenade		false	false
gnob_ror_boom_squad_scrap_launcher	false	gnob_ror_boom_squad_scrap_launcher		false	false
gnob_ror_phut_gun_pistol	false	gnob_ror_phut_gun_pistol	pistol	false	false
gnob_rustbucket_crossbow	false	gnob_rustbucket_crossbow_bolt	crossbow_LH	false	false
gnob_sabretusk_riders_throwing_dagger	true	gnob_sabretusk_riders_throwing_dagger		false	false
gnob_skullflingers_sling	false	gnob_skullflingers_sling		false	false
gnob_torch_gnoblar_grenade	true	gnob_torch_gnoblar_grenade		false	false
