key	precursor	default_projectile	audio_type	use_secondary_ammo_pool	hide_secondary_range_ammo_statistics_ui
#missile_weapons_tables;12;db/missile_weapons_tables/!!!!!!!2xunitsize_compat_ror_all
crane_ror	false	crane	wh2_dlc12_warplock_jezzails	false	false
cross	false	cross_ror	crossbow	false	false
flamer_pro	false	flamer_ror		false	false
iron_hail	false	iron_hail	deck_gunner_cannon	false	false
junk_can	false	junk_cannon	rocket_battery	false	false
wh3_ksl_streltsi_rifle_bullet_pro	false	wh3_ksl_streltsi_rifle_bullet_pro	repeater_rifle	false	false
wh3_main_kho_skullcannon_skull_pro	false	wh3_main_kho_skullcannon_skull_pro		false	false
wh3_main_ksl_armoured_kossar_pistol_bullet_pro	false	wh3_main_ksl_armoured_kossar_pistol_bullet_pro	pistol	false	false
wh3_main_ksl_bow_kossars_pro	false	wh3_main_ksl_bow_kossars_pro	bow	false	false
wh3_main_ksl_little_grom_cannon_ball_pro	false	wh3_main_ksl_little_grom_cannon_ball_pro		false	false
wh3_main_ogr_leadbelcher_gun_ror	false	wh3_main_ogr_leadbelcher_shot_ror	cannon	false	false
wh3_main_ogr_veh_ironblaster_ror	false	wh3_main_ogr_veh_ironblaster_shot_ror	queen_bess	false	false
wh3_main_tze_blue_horror_fire_bolt_pro	false	wh3_main_tze_blue_horror_fire_bolt_pro		false	false
wh3_main_tze_burning_chariot_exalted_flamer_warpflame_ror	false	wh3_main_tze_burning_chariot_exalted_flamer_warpflame_ror		false	false
wh3_main_tze_flamer_flame_pro	false	wh3_main_tze_flamer_flame_pro		false	false
wh3_main_tze_pink_horror_fire_bolt_pro	false	wh3_main_tze_pink_horror_fire_bolt_pro		false	false
wh3_ogr_gnoblar_throwing_dagger_ror	false	wh3_ogr_gnoblar_throwing_dagger_ror		false	false
wh_main_chs_throwing_axe_pro	false	wh_chs_throwing_axe_pro		false	false
