key	bonus_v_large	bonus_v_infantry	damage	ap_damage	weapon_length	melee_weapon_type	audio_type	splash_attack_target_size	splash_attack_max_attacks	splash_attack_power_multiplier	building_damage_multiplier	ignition_amount	is_magical	contact_phase	collision_attack_max_targets	collision_attack_max_targets_cooldown	melee_attack_interval	scaling_damage	is_spell
#melee_weapons_tables;25;db/melee_weapons_tables/!!!!!!!50meleeattackspeed_compat_pwner1_wh3_ete_unit_pack
bastiladon	0	15	90	160	9.0000	axe	creatures_claws	medium	3	1.0000	1.2500	0.0000	true	wh2_pro08_unit_contact_dampen	0	10	1.85		false
dread	0	0	220	530	20.0000	axe	creatures_claws	very_large	12	3.4000	1.2500	0.0000	true	wh_dlc06_unit_contact_discouraged	0	0	0.6	wh2_dlc17_bst_ghorgon_ror	false
wh2_dlc09_dual_swords_ushabti_ete	0	20	130	300	3.0000	sword	sword_medium	medium	5	1.0000	1.0000	0.0000	false		0	10	1.9		false
wh2_dlc09_swords_necrosphinx_RoR_ete	35	0	360	920	9.0000	sword	sword_huge	large	6	1.8000	0.7500	1.0000	true	wh_main_unit_contact_morale	5	5	1.8		false
wh2_dlc09_swords_necrosphinx_ete	35	0	360	920	9.0000	sword	sword_huge	large	6	1.8000	0.7500	0.0000	false		5	5	1.8		false
wh2_dlc09_tmb_halberd_prince_ete	25	0	110	260	3.0000	spear	axe_medium	large	4	1.0000	0.5000	0.0000	true		0	10	1.6		false
wh2_dlc09_tmb_necropolis_knights_halberd_ete	35	0	120	300	5.0000	lance	halberd	small	3	1.2000	0.5000	0.0000	false	wh3_dlc27_unit_contact_eroding_poison	0	10	2.7		false
wh2_dlc09_tmb_necropolis_knights_lance_ete	0	25	220	230	5.0000	lance	halberd	small	3	1.2000	0.5000	0.0000	false	wh_main_unit_contact_poison	0	10	2.1		false
wh2_dlc09_tmb_scorpion_claws_ete	0	15	240	600	7.0000	axe	creatures_claws	large	5	1.0000	1.2500	0.0000	false	wh_main_unit_contact_poison	4	4	1.85		false
wh2_dlc09_tmb_sword_hero_ete	0	25	240	120	3.0000	sword	sword	small	4	1.0000	0.7500	0.0000	false		0	10	1.9	wh3_main_assassin	false
wh2_dlc09_tmb_warsphinx_ete	0	15	280	680	9.0000	axe	creatures_claws	large	5	1.5000	1.2500	0.0000	false		4	4	2.0		false
wh2_dlc10_def_kharibdyss_ete	30	0	150	350	9.0000	axe	creatures_claws	large	5	1.0000	1.2500	0.0000	false	wh_dlc06_unit_contact_discouraged	0	10	1.8		false
wh2_dlc10_def_manticore_ete	0	0	290	155	6.0000	axe	creatures_claws	large	4	1.0000	1.0000	0.0000	false	wh_main_unit_contact_poison	0	3	1.8		false
wh2_dlc10_def_war_hydra_ror_0_ete	0	0	280	600	9.0000	axe	creatures_claws	large	5	1.0000	1.2500	0.0000	true	wh3_main_unit_contact_frostbite_upgraded	0	10	1.8		false
