key	engine_type	model	gun_animation_table	missile_weapon	destruction_animation	destroyed_model	battle_entity	asset_folder	variant	draught_attachment_point	tech_folder	rider_attachment_point	destruct_model	destruct_anim	destruct_meta	audio_armour_type	riders_shoot_behaviour	scale	crew_reserve_distance_offset
#battlefield_engines_tables;24;db/battlefield_engines_tables/!!!17C_Deithland_Main
emp_autodragon	Generic_3_Crew	emp_autodragon	engine_emp_autodragon	emp_autodragon_artillery_gun	emp_autodragon_destruct	warmachines/engines/emp_autodragon/emp_autodragon_destroyed.rigid_model_v2	emp_autodragon									war_machine_metal	all_riders_shooting	1.5000	0
emp_autofalcon	Generic_3_Crew	emp_autofalcon	engine_emp_autofalcon	emp_autofalcon_gun	emp_autofalcon_destruct	warmachines/engines/emp_autofalcon/emp_autofalcon_destroyed.rigid_model_v2	emp_autofalcon									war_machine_metal	all_riders_shooting	1.3500	0
emp_autofalcon_armored	Generic_3_Crew	emp_autofalcon_armored	engine_emp_autofalcon	emp_autofalcon_gun	emp_autofalcon_armored_destruct	warmachines/engines/emp_autofalcon_shield/emp_autofalcon_shield_destroyed.rigid_model_v2	emp_autofalcon_armored									war_machine_metal	all_riders_shooting	1.3500	0
emp_cinderbell	Generic_3_Crew	emp_cinderbell	engine_emp_cinderbell_bess	emp_cinderbell_cannon	emp_cinderbell_destruct	warmachines/engines/emp_cinderbell/emp_cinderbell_bess_destroyed.rigid_model_v2	emp_cinderbell									war_machine_metal	all_riders_shooting	1.0000	0
emp_cofferglare	Generic_3_Crew	emp_cofferglare	engine_emp_cofferglare	emp_cofferglare_rocket_big_gun	emp_cofferglare_destruct	warmachines/engines/emp_cofferglare/cofferglare_destroyed.rigid_model_v2	emp_cofferglare									war_machine_metal	all_riders_shooting	1.5000	0
emp_culverin	Generic_3_Crew	emp_culverin	wm_great_cannon01	emp_culverin_cannon	emp_culverin_destruct	warmachines/engines/emp_culverin/emp_culverin_destroyed.rigid_model_v2	emp_culverin									war_machine_metal	all_riders_shooting	1.0000	0
emp_drakebiter	Generic_3_Crew	emp_drakebiter	wm_great_cannon01	emp_drakebiter_cannon	emp_drakebiter	warmachines/engines/emp_drakebiter/drakebiter_destroyed.rigid_model_v2	emp_drakebiter									war_machine_metal	all_riders_shooting	1.0000	0
emp_gottzorn	Generic_No_Crew_Rotate	emp_gottzorn	engine_emp_gottzorn		emp_gottzorn_destruct	warmachines/engines/emp_gottzorn/emp_gottzorn_destroyed.rigid_model_v2	emp_gottzorn				warmachines/engines/emp_gottzorn/tech					war_machine_metal	all_riders_shooting	1.0000	0
emp_grendelgun	Generic_3_Crew	emp_grendelgun	engine_emp_grendelgun	emp_grendelgun_gun	emp_grendelgun_destruct	warmachines/engines/emp_grendelgun/emp_grendelgun.rigid_model_v2	emp_grendelgun									war_machine_metal	all_riders_shooting	1.0000	0
emp_knellgun	Generic_3_Crew	emp_knellgun	engine_emp_small_cannon	emp_knellgun_cannon	emp_knellgun_destruct	warmachines/engines/emp_knellgun/knellgun_destroyed.rigid_model_v2	emp_knellgun									war_machine_metal	all_riders_shooting	1.0000	0
emp_mountain_gun	Generic_3_Crew	emp_mountain_gun	engine_emp_small_cannon	emp_mountain_gun_cannon	emp_mountain_gun_destruct	warmachines/engines/emp_mountain_gun/mountain_gun_destroyed.rigid_model_v2	emp_mountain_gun									war_machine_metal	all_riders_shooting	1.0000	0
emp_vinderbane	Generic_3_Crew	emp_vinderbane	engine_emp_vinderbane	emp_vinderbane_gun	emp_vinderbane_destruct	warmachines/engines/emp_vinderbane/vinderbane_destroyed.rigid_model_v2	emp_vinderbane									war_machine_metal	all_riders_shooting	1.3500	0
emp_vinderbane_armored	Generic_3_Crew	emp_vinderbane_armored	engine_emp_vinderbane	emp_vinderbane_gun	emp_vinderbane_armored_destruct	warmachines/engines/emp_vinderbane_shield/vinderbane_shield_destroyed.rigid_model_v2	emp_vinderbane_armored									war_machine_metal	all_riders_shooting	1.3500	0
