key	engine_type	model	gun_animation_table	missile_weapon	destruction_animation	destroyed_model	battle_entity	asset_folder	variant	draught_attachment_point	tech_folder	rider_attachment_point	destruct_model	destruct_anim	destruct_meta	audio_armour_type	riders_shoot_behaviour	scale	crew_reserve_distance_offset
#battlefield_engines_tables;24;db/battlefield_engines_tables/!!!str_skaven_clans
clan_vrrtkin_gasthrower_engine	Generic_3_Crew	skv_lightning_cannon	wm_lightning_cannon01	clan_vrrtkin_gasthrower_missle	skv_lightning_cannon_destruct	warmachines\engines\skv_lightning_cannon\skv_lightning_cannon_01_destroyed.rigid_model_v2	wh2_main_skv_art_warp_lightning_cannon										all_riders_shooting	1.0000	0
clan_vrrtkin_globeclaw_catapult_engine	Generic_3_Crew	str_vrrtkin_globerain	wm_plagueclaw_catapult01	clan_vrrtkin_globeclaw_catapult_missle	skv_plagueclaw_catapult_destruct	warmachines/engines/skv_plagueclaw/skv_plagueclaw_01_destroyed.rigid_model_v2	wh2_main_skv_art_plagueclaw_catapult										all_riders_shooting	1.0000	0
clan_vrrtkin_mortar_engine	Generic_3_Crew	vrr_mortar	wm_mortar01	clan_vrrtkin_mortar_missle	cst_mortar_destruct	warmachines\engines\cst_mortar\cst_mortar_destroyed_01.wsmodel	wh2_dlc11_cst_art_mortar						warmachines/engines/skv_doom_flayer/vrr_mortar_destruct_01.wsmodel				all_riders_shooting	1.0000	0
clan_vrrtkin_veh_doom_flayer	Generic_No_Crew_Rotate	skv_doom_flayer_tech_lab_ror	wm_dlc12_doomflayer01		skv_doom_flayer_destruct	warmachines/engines/skv_doom_flayer/skv_doom_flayer_destroyed.rigid_model_v2	wh2_dlc12_skv_vehicle_doom_flayer				warmachines\engines\skv_doom_flayer\tech		warmachines/engines/skv_doom_flayer/skv_doom_flayer_destruct.wsmodel	warmachines/engines/skv_doom_flayer/skv_doom_flayer_destruct.anim	warmachines/engines/skv_doom_flayer/skv_doom_flayer_destruct.meta		all_riders_shooting	1.0000	0
clan_vrrtkin_veh_doomwheel	Generic_No_Crew_Rotate	skv_doomwheel_tech_lab_ror	wm_doomwheel01		skv_doomwheel_destruct	warmachines/engines/skv_doomwheel/skv_doom_wheel_01_destroyed.rigid_model_v2	wh2_dlc12_skv_vehicle_doomwheel_ikit				warmachines\engines\skv_doomwheel\tech						all_riders_shooting	1.0000	0
cr_skv_veh_portage_chariot	Generic_No_Crew_Rotate	skv_portage_chariot	wm_land_ship01	liger_skv_bombs	skv_portage_chariot_destruct		cr_skv_portaged_ship				warmachines/engine/skv_portaged_ship/tech						all_riders_shooting	1.0000	0
liger_skurvy_skv_art_warplightning_cannon	Generic_3_Crew	skv_lightning_cannon	wm_lightning_cannon01	liger__skv_warp_lightning	skv_lightning_cannon_destruct	warmachines\engines\skv_lightning_cannon\skv_lightning_cannon_01_destroyed.rigid_model_v2	liger_skurvy_skv_art_warp_lightning_cannon										all_riders_shooting	1.0000	0
liger_skv_art_helstorm_rocket_battery_engine	Generic_3_Crew	skv_warpstrom_rocket_battery	wm_helstorm01	liger_skv_warlock_doomrocket	emp_helstorm_destruct	warmachines\engines\skv_warpstrom_rocket_battery\skv_warpshard_rocket_battery_destroyed.rigid_model_v2	wh_main_emp_art_helstorm										all_riders_shooting	1.0000	0
mcr_skv_art_skurvy_warpcannon	Generic_3_Crew	skv_skurvy_warpcannon	wm_great_cannon01	liger_skv_warpcannon	skv_skurvy_warpcannon_destruct	warmachines/engines/skv_skurvy_warpcannon/skv_skurvy_warpcannon_01_destroyed.wsmodel	wh2_main_skv_art_warp_lightning_cannon										all_riders_shooting	1.0000	0
str_gnaw_spear_chukka	Generic_3_Crew	ws_spear_chukka	wm_bolt_thrower02	ws_spear_chukka_spear	ws_spear_chukka_destruct	warmachines\engines\ws_spear_chukka\ws_spear_chukka_01_destroyed.wsmodel	str_gnaw_spear_chukka										all_riders_shooting	1.0000	0
thom_ferrik_art_bolt_thrower_0	Generic_3_Crew	dwf_bolt_thrower	wm_bolt_thrower02	thom_ferrik_art_bolt_thrower_0	dwf_bolt_thrower_destruct	warmachines\engines\dwf_bolt_thrower\dwf_bolt_thrower_destroyed.rigid_model_v2	wh_dlc06_dwf_art_boltthrower										all_riders_shooting	1.0000	0
thom_ferrik_art_bolt_thrower_1	Generic_3_Crew	dwf_bolt_thrower	wm_bolt_thrower02	thom_ferrik_art_bolt_thrower_1	dwf_bolt_thrower_destruct	warmachines\engines\dwf_bolt_thrower\dwf_bolt_thrower_destroyed.rigid_model_v2	wh_dlc06_dwf_art_boltthrower										all_riders_shooting	1.0000	0
wh2_main_skv_art_skurvymortar_engine	Generic_3_Crew	liger_mortar	wm_mortar01	liger_skv_mortar	emp_mortar_destruct	warmachines/engines/skv_skurvy_mortar/liger_mortar_destroyed.wsmodel	liger_art_mortar										all_riders_shooting	1.0000	0
