key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person	ar_unit_category	healing_power	spell_mastery	infinite_secondary_ammo	default_guard_mode
#land_units_tables;54;db/land_units_tables/!!!ovn_fimir
fim_cav_marsh_reavers	10	wh2_main_body_80	2100	war_beast	67	cav_shk	ovn_unit_long_text_fim_cav_bog_beast_riders	hu7d_fimir_lz1_bogbeast_hammer	wh_dlc08_nor_monster_fimir_blood	32	30	60	632	ovn_fim_mnt_bog_beast	12	fim_bog_beast		2	none	ovn_unit_short_text_fim_cav_bog_beast_riders	fim_bog_beasts	trained			true	40.0000	1500.0000	fim_cav_marsh_reavers	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	aquatic_large	0	0	0	0	0	0	25	0	melee_flanker_shock	false	false	false	false	medium	medium	domination_cav			melee	1.0000	1.0000	false	false
fim_cav_nuckelavee	10	wh2_main_body_35	2100	cavalry	41	cav_mel	ovn_nuckelavee	hu1_hr1_nuckelavee_rider	wh_main_cavalry_rider_standard_blood	40	37	70	96	ovn_mnt_nuckelavee_horse	60	fim_nuckelavee_sword		4	none	ovn_nuckelavee	wh_main_cavalry_ordered	trained			true	40.0000	1500.0000	fim_cav_nuckelavee	60	80	0	vo_sel_default	vo_sel_cavalry	vo_sel_culture	1.0000	aquatic_large	0	0	0	0	0	20	0	0	melee_flanker_shock	false	false	false	false	low	low	domination_cav			melee	1.0000	1.0000	false	false
fim_inf_boglar	10	wh2_main_leather_15	2100	inf_melee	4	inf_mel	ovn_boglar	hu5_goblin_spear_and_shield	wh_main_grn_inf_night_goblin_blood_dismembers	14	29	45	48		0	fim_boglar_spear		8	none	ovn_boglar	wh_main_grn_goblin_infantry_standard	trained			true	40.0000	1500.0000	fim_inf_boglar	60	80	0	vo_sel_ogr_gnoblar_boglars	vo_sel_melee	vo_sel_generic	1.0000	aquatic_small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry			melee	1.0000	1.0000	false	false
fim_inf_death_quest	10	wh2_main_leather_30	2100	inf_melee	25	inf_mel	ovn_death_quest	hu7d_ovn_fimir_dual_axes	ovn_shearl	32	20	100	83		0	fim_death_quest		6	none	ovn_death_quest	wh_main_grn_orc_infantry_standard	trained			true	40.0000	1500.0000	fim_inf_death_quest	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry			melee	1.0000	1.0000	false	false
fim_inf_fimm_flaithmor	10	wh2_main_leather_45	2100	inf_melee	30	inf_mel	ovn_flaithmor	hu7d_fimir_dual_axes	ovn_fimm_warrior	36	38	68	100		0	fim_flaithmor_dual_axes		5	none	ovn_flaithmor	wh_main_grn_orc_infantry_big_uns	trained			true	40.0000	1500.0000	fim_inf_flaithmor	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	small	0	0	0	0	0	0	15	0	melee_anti_large	false	true	false	false	medium	medium	domination_infantry			melee	1.0000	1.0000	false	false
fim_inf_fimm_warriors	10	wh2_dlc15_heavy_metal_60	2100	inf_melee	22	inf_mel	wh_dlc08_unit_long_text_nor_fimir_warriors	hu7d_ovn_fimir_axe_and_shield	ovn_fimm_warrior	36	44	68	100		0	wh_main_chs_axe		5	wh_missile_block_35_wood	wh_dlc08_unit_short_text_nor_fimir_warriors	wh_main_grn_orc_infantry_big_uns	trained			true	40.0000	1500.0000	fim_inf_fimm_warriors	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	small	0	0	0	0	0	0	15	0	melee	false	true	false	false	medium	medium	domination_infantry			melee	1.0000	1.0000	false	false
fim_inf_fimm_warriors_great_weapons	10	wh2_dlc15_heavy_metal_60	2100	inf_melee	28	inf_mel	wh_dlc08_unit_long_text_nor_fimir_warriors	hu7d_ovn_fimir_2handed_axe	ovn_fimm_warrior	39	32	68	100		0	wh_dlc01_chs_axe_great		5	none	wh_dlc08_unit_short_text_nor_fimir_warriors_great	wh_main_grn_orc_infantry_big_uns	trained			true	40.0000	1500.0000	fim_inf_fimm_warriors_great_weapons	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	small	0	0	0	0	0	0	15	0	melee	false	true	false	false	medium	medium	domination_infantry			melee	1.0000	1.0000	false	false
fim_inf_moor_hounds	10	wh_main_body_0	2100	inf_melee	24	inf_mel	ovn_marsh_hounds	wf1_giant_wolf_daemonic	wh_main_chs_monster_warhound_blood	23	14	45	68		0	fim_moor_hound_fangs		6	none	ovn_marsh_hounds	wh_main_war_beasts	trained			true	40.0000	1500.0000	fim_inf_moor_hounds	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	aquatic_small	0	0	0	0	0	20	15	0	melee_flanker	false	true	false	false	medium	medium	domination_infantry			melee	1.0000	1.0000	false	false
fim_inf_shearl	10	wh2_main_leather_30	2100	inf_melee	18	inf_mel	ovn_shearl	hu7d_ovn_fimir_shearl	ovn_shearl	26	23	55	73		0	fim_shearl		6	none	ovn_shearl	wh_main_grn_orc_infantry_standard	trained			true	40.0000	1500.0000	fim_inf_shearl	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry			melee	1.0000	1.0000	false	false
fim_inf_shearl_javelineer	10	wh2_main_leather_30	2100	inf_ranged	8	inf_mis	ovn_unit_long_text_fim_mon_javelin_0	hu7d_ovn_fimir_axe_and_javelin	ovn_shearl	21	12	50	69		0	fim_shearl	ovn_fim_javelin	4	none	ovn_unit_short_text_fim_mon_javelin_0	wh_main_grn_orc_infantry_standard	trained			true	40.0000	1500.0000	fim_inf_shearl_javelineer	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	small	0	12	0	0	0	0	0	0	ranged_direct	true	true	false	false	medium	medium	domination_infantry			archer	1.0000	1.0000	false	false
fim_inf_shearl_spearmen	10	wh2_main_leather_30	2100	inf_melee	10	inf_mel	ovn_shearl	hu7d_fimir_shearl_spear	ovn_shearl	18	26	55	73		0	fim_shearl_spear		6	none	ovn_shearl_spearmen	wh_main_grn_orc_infantry_standard	trained			true	40.0000	1500.0000	fim_inf_shearl_spearmen	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry			melee	1.0000	1.0000	false	false
fim_inf_swamp_daemons	10	wh2_main_body_40	2100	inf_melee	36	inf_mel	ovn_swamp_daemons	hu8_swamp_daemon	fim_swamp_daemons	35	25	70	84		0	fim_swamp_daemons		5	none	ovn_swamp_daemons	wh_main_infantry_forsaken	trained			true	40.0000	1500.0000	fim_inf_swamp_daemons	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	aquatic_small	0	0	0	0	0	20	15	0	melee_flanker	false	true	false	false	medium	medium	domination_infantry			melee	1.0000	1.0000	false	false
fim_inf_swamp_daemons_summon	10	wh2_main_body_40	2100	inf_melee	36	inf_mel	ovn_swamp_daemons	hu8_swamp_daemon	fim_swamp_daemons	35	25	70	84		0	fim_swamp_daemons		5	none	ovn_swamp_daemons	wh_main_infantry_forsaken	trained			true	40.0000	1500.0000	fim_inf_swamp_daemons_summon	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	aquatic_small	0	0	0	0	0	20	15	0	melee_flanker	false	true	false	false	cant_capture	cant_capture	cant_capture			melee	1.0000	1.0000	false	false
