key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person	ar_unit_category	healing_power	spell_mastery	infinite_secondary_ammo	default_guard_mode
#land_units_tables;54;db/land_units_tables/!!!shun_cth_unitpack
cth_inf_heralds_bwinds	10	wh2_main_chainmail_100	2100	inf_melee	20	inf_mel	wh3_main_unit_long_text_cth_inf_dragon_guard_0	hu1e_halberd	cth_inf_heralds_bwinds_entity	46	40	80	82		0	cth_guandao		6	none	wh3_main_unit_short_text_cth_inf_heralds_bwinds	wh3_main_cth_infantry	well_trained			true	40.0000	1500.0000	cth_inf_heralds_bwinds	60	80	0	vo_sel_cth_dragon_guard	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry			melee	1.0000	1.0000	false	false
cth_inf_onna_bushi	10	wh2_main_chainmail_80	2100	war_beast	60	cav_shk	wh3_main_unit_long_text_cth_inf_dragon_guard_0	hu1e_hr1_cav_2h_mashuo	wh_main_cavalry_rider_standard_blood	36	33	65	92	shun_horse_medium_cav_mashuo	60	cth_naginata		4	none	wh3_main_unit_short_text_cth_inf_onna_bushi	wh_main_cavalry_ordered	well_trained			false	40.0000	1500.0000	cth_inf_onna_bushi	60	80	0	vo_sel_cth_dragon_guard	vo_sel_cavalry	vo_sel_culture	1.0000	large	0	0	0	0	0	0	0	0	melee_flanker_shock	false	false	false	false	medium	medium	domination_cav			melee	1.0000	1.0000	false	false
cth_inf_onna_bushi_archers	10	wh2_main_chainmail_70	2100	inf_ranged	10	inf_mis	wh3_main_unit_long_text_cth_inf_dragon_guard_0	hu1_shun_cth_bow_and_glaive_01	cth_inf_onna_bushi_entity	36	38	75	80		0	cth_naginata_archers	cth_onna_bushi_bow	4	none	wh3_main_unit_short_text_cth_inf_onna_bushi_archers	wh_main_infantry_ice_guard	well_trained			false	40.0000	1500.0000	cth_inf_onna_bushi_archers	60	80	0	vo_sel_cth_dragon_guard	vo_sel_missile	vo_sel_culture	1.0000	small	0	18	0	0	0	0	0	0	hybrid_melee	true	true	false	false	medium	medium	domination_infantry			archer	1.0000	1.0000	false	false
cth_matchlock_samurai	10	wh2_main_plate_70	2100	inf_ranged	4	inf_mis	wh3_main_unit_long_text_cth_inf_crane_gunners_0	hu1e_blunderbuss_sword	wh3_main_cth_infantry_iron_hail_gunners_blood_dismembers	24	28	65	66		0	wh3_main_cth_jade_warrior_sword	shun_matchlock_rifle	3	none	wh3_main_unit_short_text_cth_matchlock_samurai	wh3_main_cth_infantry	trained			true	40.0000	1500.0000	cth_matchlock_samurai	60	80	0	vo_sel_cth_iron_hail_gunners	vo_sel_ranged	vo_sel_culture	1.0000	small	0	22	0	0	0	0	0	0	ranged_direct	true	true	false	false	medium	medium	domination_infantry			archer	1.0000	1.0000	false	false
cth_samurai_shun	10	wh2_main_plate_85	2100	inf_melee	18	inf_mel	wh_main_unit_long_text_emp_great_swords	hu1d_def_2handed_sword	wh_main_infantry_slow_blood_dismembers	35	29	70	65		0	wh_main_emp_greatsword		6	none	wh3_main_unit_short_text_cth_samurai_shun	wh_main_infantry_greatswords	trained			true	40.0000	1500.0000	cth_samurai_shun	60	80	0	vo_sel_cth_dragon_guard	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry			melee	1.0000	1.0000	false	false
shun_art_grand_cannon_0	10	wh2_main_leather_20	2100	artillery	5	art_fld	wh3_main_unit_long_text_cth_art_grand_cannon_0	hu1e_sword	wh3_main_cth_artillery_crew	10	6	50	48	wh3_main_cth_mnt_oxen_draught_artillery	2	wh3_main_cth_peasant_sword		5	none	wh3_main_unit_short_text_cth_art_grand_cannon_0	wh_main_artillery	trained	wh3_main_cth_art_grand_cannon_articulation	shun_art_grand_cannon	false	40.0000	1500.0000	wh3_main_cth_art_grand_cannon_0	60	80	0	vo_sel_cth_grand_cannon	vo_sel_artillery	vo_sel_culture	1.0000	small	0	22	0	0	4	10	0	0	ranged_direct_arty	false	false	false	false	medium	medium	domination_artillery		wh3_main_cth_art_grand_cannon	artillery	1.0000	1.0000	false	false
shun_azurestone_guardian	10	wh2_main_body_90	2100	inf_melee	40	inf_mel	wh3_dlc24_unit_long_text_cth_mon_jade_jet_lions	bc5_dlc24_jade_lion	wh3_dlc24_cth_mon_jade_lion	55	45	65	5800		0	shun_azurestone_guardian		1	none	wh3_main_unit_short_text_cth_azurestone_guardian	wh_main_monster	trained			true	40.0000	1500.0000	shun_azurestone_guardian_attr	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	large	0	0	0	50	0	0	15	0	melee	false	false	false	false	low	low	domination_monsters			melee	1.0000	1.0000	false	false
shun_dragon_guard_skirmisher	10	wh2_main_chainmail_80	2100	war_beast	43	cav_mis	wh3_main_unit_long_text_cth_inf_dragon_guard_0	hu1_shun_cth_warhorse_sword_bow	wh_main_cavalry_rider_standard_blood	30	38	70	92	cth_horse_medium_cav	60	shun_dragon_guard_skirmisher_mace	shun_dragon_guard_bow	4	wh_missile_block_30_wood	wh3_main_unit_short_text_cth_dragon_guard_skirmisher	wh_main_cavalry_ordered	well_trained			false	40.0000	1500.0000	shun_dragon_guard_skirmisher_attr	60	80	0	vo_sel_cth_dragon_guard	vo_sel_cavalry	vo_sel_culture	1.0000	large	0	18	0	0	0	0	0	0	ranged_cav	true	false	false	false	medium	medium	domination_cav			skirmish	1.0000	1.0000	false	false
shun_eastern_provinces_shieldmaidens	10	wh2_main_chainmail_95	2100	inf_melee	15	inf_mel	wh3_main_unit_long_text_cth_inf_dragon_guard_0	hu1e_sword_and_shield	wh3_main_cth_infantry_heavy_blood_dismembers	34	45	72	80		0	shun_shieldmaidens_sword		6	wh_missile_block_35_wood	wh3_main_unit_short_text_cth_eastern_provinces_shieldmaidens	wh3_main_cth_infantry_celestial_guard_2handed	trained			false	40.0000	1500.0000	shun_eastern_provinces_shieldmaidens_attr	60	80	0	vo_sel_cth_dragon_guard	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	15	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry_elite			melee	1.0000	1.0000	false	false
