key	animation	entity	audio_armour_type	variant	voiceover
#mounts_tables;10;db/mounts_tables/!!!gra_knightly_orders
wh_main_emp_mnt_warhorse_black_guard	hr1_warhorse	wh_main_cavalry_slow_blood	plate	mnt_barded_warhorse_black_guard	wh_main_vo_culture_Horse
wh_main_emp_mnt_warhorse_everlasting_light	hr1_warhorse	wh_main_cavalry_slow_blood	plate	mnt_barded_warhorse_everlasting_light	wh_main_vo_culture_Horse
wh_main_emp_mnt_warhorse_fellwolf_brotherhood	hr1_warhorse	wh_main_cavalry_slow_blood	plate	mnt_barded_warhorse_fellwolf_brotherhood	wh_main_vo_culture_Horse
wh_main_emp_mnt_warhorse_fiery_heart	hr1_warhorse	wh_main_cavalry_slow_blood	plate	mnt_barded_warhorse_fiery_heart	wh_main_vo_culture_Horse
wh_main_emp_mnt_warhorse_knights_bull	hr1_warhorse	wh_main_cavalry_slow_blood	plate	mnt_barded_warhorse_knights_bull	wh_main_vo_culture_Horse
wh_main_emp_mnt_warhorse_knights_griffon	hr1_warhorse	wh_main_cavalry_slow_blood	plate	mnt_barded_warhorse_knights_griffon	wh_main_vo_culture_Horse
wh_main_emp_mnt_warhorse_knights_panther	hr1_warhorse	wh_main_emp_cavalry_knights_panther_blood	plate	mnt_barded_warhorse_knights_panther	wh_main_vo_culture_Horse
wh_main_emp_mnt_warhorse_knights_raven	hr1_warhorse	wh_main_cavalry_slow_blood	plate	mnt_barded_warhorse_knights_raven	wh_main_vo_culture_Horse
wh_main_emp_mnt_warhorse_sacred_scythe	hr1_warhorse	wh_main_cavalry_slow_blood	plate	mnt_barded_warhorse_sacred_scythe	wh_main_vo_culture_Horse
wh_main_emp_mnt_warhorse_white_wolf	hr1_warhorse	wh_main_cavalry_slow_blood	plate	mnt_barded_warhorse_white_wolf	wh_main_vo_culture_Horse
