key	animation	entity	audio_armour_type	variant	voiceover
#mounts_tables;10;db/mounts_tables/!!!pwner1_wh3_ete_unit_pack
2mammoth	hq3_mammoth	wh_dlc08_nor_mon_mammoth_howdah_blood	body	wh_dlc08_nor_war_mammoth_tamer	vo_culture_Invalid
bastil	hq1_bastiladon	wh2_main_lzd_mon_bastiladon_platform_arc	body	basti	wh2_main_vo_culture_Lizardmen
carno_2	rp3b_carnosaur	wh2_main_lzd_mon_carnosaur_mount	body	carno_2	wh2_main_vo_culture_Lizardmen
flamer_phoenix	bi1_dlc15_phoenix	wh2_main_hef_mon_phoenix	body	flamer_phoenix	wh2_main_vo_culture_Phoenix
wh2_dlc09_tmb_mnt_necroserpent_ete	sn1_serpent	wh2_dlc09_tmb_cav_necroserpent_khalida	bone	wh2_dlc09_tmb_necro_serpent	vo_culture_None
wh2_dlc09_tmb_mnt_tomb_steed_ete	hr1_tomb_steed	wh2_dlc09_tmb_cav_skeletal_steed_hero	bone	wh2_dlc09_tmb_skeletal_steed_hero_ete	vo_culture_None
wh2_main_hef_mnt_dragon_princes_ete	hr1_warhorse	wh2_main_hef_mnt_barded_steed_dragon_princes_ete	plate	wh2_main_hef_dragon_steed	wh_main_vo_culture_Horse
wh3_dlc25_dwf_mnt_veh_thunderbarge_ete	zeppelin01_dlc25_thunderbarge_ete	wh3_dlc25_dwf_mnt_veh_thunderbarge	leather	wh3_dlc25_dwf_mnt_veh_thunderbarge	wh_main_vo_culture_Dwarf
wh3_dlc25_nur_mnt_bubebolos_ete	dr05_dlc25_toad_dragon_bubebolos	wh3_dlc25_nur_mon_toad_dragon_ete	body	wh3_dlc25_nur_mon_toad_dragon_ete	wh3_dlc25_vo_culture_toad_dragon
wh3_dlc25_nur_mnt_rot_beast_hero_ete	bc4_dlc25_rot_beast	wh3_dlc25_nur_mnt_rot_beast_hero	body	wh3_dlc25_nur_cav_rot_beasts_ror	vo_culture_Invalid
wh3_dlc26_grn_mnt_warboar_no_saddle_shaman_ete	bo1_warboar	wh_main_grn_cav_boar_savage_shaman_blood	body	wh_grn_warboar_no_saddle_big_uns_savage_ete	wh_dlc03_vo_culture_Boar
wh3_dlc26_kho_mnt_flesh_hound_of_khorne_arbaal_ete	bc4c_flesh_hounds_of_khorne_arbaal	wh3_dlc26_kho_mnt_flesh_hound_of_khorne_arbaal	body	wh3_dlc26_kho_mnt_flesh_hound_of_khorne_arbaal_ete	vo_culture_Invalid
wh3_dlc27_chs_mnt_norscan_kurgan_warhorse_horsemen_ete	hr1_wh3_dlc20_large_heavy_horse	wh3_dlc20_chs_mnt_norscan_warhorse_lords	leather	wh3_dlc27_chs_norscan_warhorse_kurgan	wh_main_vo_culture_Horse
wh3_main_ksl_mnt_war_bear_heavy_ete	be1_wh3_warbear	wh3_main_ksl_cav_war_bear_hero	plate	wh3_main_ksl_mnt_war_bear_heavy_ete	wh_main_vo_culture_Kislev
wh_dlc02_vmp_mnt_blood_knights_steed_ete	hr1_warhorse	wh_dlc02_vmp_cavalry_standard_blood_knight_blood	leather	wh_dlc02_vmp_blood_knights_steed_ete	wh_main_vo_culture_Skeletal_horse
wh_dlc04_emp_mnt_warhorse_reiksguard_zintlers_ete	hr1_warhorse	wh_main_cavalry_slow_hero_blood	plate	wh_dlc04_emp_warhorse_reiksguard_zintlers	wh_dlc03_vo_culture_Beastmen
wh_main_brt_mnt_warhorse_hero_ete	hr1_warhorse	wh_main_brt_mnt_cavalry_hero_blood	plate	wh_brt_warhorses_barded_faction_colours_ete	wh_main_vo_culture_Horse
wh_main_brt_mnt_warhorse_hero_ete_2	hr1_warhorse	wh_main_brt_mnt_cavalry_hero_blood	plate	wh_dlc07_brt_questing_knight_warhorse_ete	wh_main_vo_culture_Horse
wh_main_emp_mnt_demigryph_ete	bc2_demigryph	wh_main_monster_demigryph_blood_ete	plate	wh_emp_demigryph_ete	wh_main_vo_culture_Griffin_DemiGryph_Hippogryph
