unit	purchasable_effect	is_exclusive
#unit_purchasable_effect_sets_tables;0;db/unit_purchasable_effect_sets_tables/!!!stg_unq_mutants
stg_ch_cult_kho_blacksmiths_of_blood	nanu_dynamic_ror_ability_all_arcane_blast	False
stg_ch_cult_kho_blacksmiths_of_blood	nanu_dynamic_ror_ability_all_arcane_blast_magic_attacks_ammo_type_magic	False
stg_ch_cult_kho_blacksmiths_of_blood	nanu_dynamic_ror_ability_all_aura_of_ensorcelling_flaming_arcane_fire_attacks_ammo_type_arcane_fire	False
stg_ch_cult_kho_blacksmiths_of_blood	nanu_dynamic_ror_ability_all_aura_of_ensorcelling_magic_attacks_ammo_type_magic	False
stg_ch_cult_kho_blacksmiths_of_blood	nanu_dynamic_ror_ability_all_aura_of_ensorcelling_piercing_magic_attacks_ammo_type_magic	False
stg_ch_cult_kho_blacksmiths_of_blood	nanu_dynamic_ror_ability_all_aura_of_ensorcelling_poison_contact_magic_attacks_ammo_type_poison	False
stg_ch_cult_kho_blacksmiths_of_blood	nanu_dynamic_ror_ability_all_aura_of_healing	False
stg_ch_cult_kho_blacksmiths_of_blood	nanu_dynamic_ror_ability_all_aura_of_hexing	False
stg_ch_cult_kho_blacksmiths_of_blood	nanu_dynamic_ror_ability_all_barrier_boost	False
stg_ch_cult_kho_blacksmiths_of_blood	nanu_dynamic_ror_ability_all_chain_lightining_urannons_thunderbolt	False
stg_ch_cult_kho_blacksmiths_of_blood	nanu_dynamic_ror_ability_all_chain_lightning	False
stg_ch_cult_kho_blacksmiths_of_blood	nanu_dynamic_ror_ability_all_ensorcelled_weapons_flaming_arcane_fire_attacks_ammo_type_arcane_fire	False
stg_ch_cult_kho_blacksmiths_of_blood	nanu_dynamic_ror_ability_all_ensorcelled_weapons_magic_attacks_ammo_type_magic	False
stg_ch_cult_kho_blacksmiths_of_blood	nanu_dynamic_ror_ability_all_ensorcelled_weapons_piercing_magic_attacks_ammo_type_magic	False
stg_ch_cult_kho_blacksmiths_of_blood	nanu_dynamic_ror_ability_all_ensorcelled_weapons_poison_contact_magic_attacks_ammo_type_poison	False
stg_ch_cult_kho_blacksmiths_of_blood	nanu_dynamic_ror_ability_all_field_medic_encourage	False
stg_ch_cult_kho_blacksmiths_of_blood	nanu_dynamic_ror_ability_all_freezing_aura_contact_freezing_attacks_ammo_type_frozen	False
stg_ch_cult_kho_blacksmiths_of_blood	nanu_dynamic_ror_ability_all_freezing_aura_contact_frostbite_attacks_ammo_type_frozen	False
stg_ch_cult_kho_blacksmiths_of_blood	nanu_dynamic_ror_ability_all_frostfire_tempest	False
stg_ch_cult_kho_blacksmiths_of_blood	nanu_dynamic_ror_ability_all_frostfire_tempest_contact_frostfire_attacks_ammo_type_frozen	False
stg_ch_cult_kho_blacksmiths_of_blood	nanu_dynamic_ror_ability_all_frozen_tomb	False
stg_ch_cult_kho_blacksmiths_of_blood	nanu_dynamic_ror_ability_all_frozen_tomb_aoe	False
stg_ch_cult_kho_blacksmiths_of_blood	nanu_dynamic_ror_ability_all_hunter_snare	False
stg_ch_cult_kho_blacksmiths_of_blood	nanu_dynamic_ror_ability_all_hunter_trap	False
stg_ch_cult_kho_blacksmiths_of_blood	nanu_dynamic_ror_ability_all_magma_storm	False
stg_ch_cult_kho_blacksmiths_of_blood	nanu_dynamic_ror_ability_all_searing_doom	False
stg_ch_cult_kho_blacksmiths_of_blood	nanu_dynamic_ror_ability_all_unstable_winds	False
