key	display_model	impact	launch_fx	trail_fx	stationary_fx	airborne_anim	landing_anim	tip_offset	trail_spin	launch_camera_shake	impact_bounce	impact_penetrate	impact_blood	impact_bounce_blood	impact_penetrate_blood	mirroring_start	mirroring_trail	scale
#projectile_displays_tables;12;db/projectile_displays_tables/!!!!!!!double_projectile_velocity_compat_!TW_Millennium_Public
emp_10,5cm_howitzer_shell	projectiles\wh_twm_emp_10,5cm_howitzer_shell.rigid_model_v2	wh_twm_10,5cm_shell_impact	wh_main_weapon_muzzle_flash_large	wh_main_weapon_trail_smoke_small				0.0000	false	wh_main_unit_launch_medium	wh_main_bounce_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
emp_12,8cm_cannon_shell	projectiles\wh_twm_emp_12,8cm_cannon_shell.rigid_model_v2	wh_twm_12,8cm_shell_impact	wh_main_weapon_muzzle_flash_large	wh_main_weapon_trail_smoke_medium				0.0000	false	wh_main_unit_launch_medium	wh_main_bounce_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
emp_15cm_cannon_shell	projectiles\wh_twm_emp_15cm_cannon_shell.rigid_model_v2	wh_twm_15cm_cannon_shell_impact	wh_main_weapon_muzzle_flash_large	wh_main_weapon_trail_smoke_medium				0.0000	false	wh_main_unit_launch_heavy	wh_main_bounce_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
emp_15cm_howitzer_shell	projectiles\wh_twm_emp_15cm_howitzer_shell.rigid_model_v2	wh_twm_15cm_howitzer_shell_impact	wh_main_weapon_muzzle_flash_large	wh_main_weapon_trail_smoke_medium				0.0000	false	wh_main_unit_launch_heavy	wh_main_bounce_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
emp_17cm_mortar_shell	projectiles\wh_twm_emp_17cm_mortar_shell.rigid_model_v2	wh_twm_17cm_shell_impact	wh_main_weapon_muzzle_flash_large	wh_main_weapon_trail_smoke_medium				0.0000	false	wh_main_unit_launch_heavy	wh_main_bounce_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
emp_3,7cm_autocannon_dummy_shot	projectiles\wh_twm_emp_3,7cm_cannon_shell.rigid_model_v2							0.0000	false									0.0010
emp_3,7cm_autocannon_shot	projectiles\wh_twm_emp_3,7cm_cannon_shell.rigid_model_v2	wh_main_impact_small	wh_main_weapon_muzzle_flash_medium	wh_main_weapon_trail_smoke_small				0.0000	false	wh_main_unit_launch_medium	wh_main_bounce_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
emp_42cm_mortar_shell	projectiles\wh_twm_emp_42cm_mortar_shell.rigid_model_v2	wh_twm_42cm_shell_impact	wh_main_cannon_muzzle_flash_vlarge	wh_main_weapon_trail_smoke_large				0.0000	false	wh_main_unit_launch_heavy	wh_main_bounce_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
emp_42cm_mortar_shell_bombardment	projectiles\wh_twm_emp_42cm_mortar_shell.rigid_model_v2	wh_twm_42cm_shell_impact		wh_main_weapon_trail_smoke_large				0.0000	false	wh_main_unit_launch_heavy	wh_main_bounce_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
emp_5,7cm_cannon_shell	projectiles\wh_twm_emp_7,5cm_cannon_shell.rigid_model_v2	wh_twm_5,7cm_shell_impact	wh_main_weapon_muzzle_flash_large	wh_main_weapon_trail_smoke_small				0.0000	false	wh_main_unit_launch_medium	wh_main_bounce_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
emp_7,5cm_cannon_shell	projectiles\wh_twm_emp_7,5cm_cannon_shell.rigid_model_v2	wh_twm_7,5cm_shell_impact	wh_main_weapon_muzzle_flash_large	wh_main_weapon_trail_smoke_small				0.0000	false	wh_main_unit_launch_medium	wh_main_bounce_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
emp_7,7cm_cannon_ror_shell	projectiles\wh_twm_emp_modern_artillery_ror_shell.wsmodel	wh_twm_7,7cm_shell_impact	wh_main_weapon_muzzle_flash_large	wh2_dlc13_weapon_trail_blessed_mortar				0.0000	false	wh_main_unit_launch_medium	wh_main_bounce_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
emp_7,7cm_cannon_shell	projectiles\wh_twm_emp_7,7cm_cannon_shell.rigid_model_v2	wh_twm_7,7cm_shell_impact	wh_main_weapon_muzzle_flash_large	wh_main_weapon_trail_smoke_small				0.0000	false	wh_main_unit_launch_medium	wh_main_bounce_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
emp_8,8cm_cannon_shell	projectiles\wh_twm_emp_7,7cm_cannon_shell.rigid_model_v2	wh_twm_8,8cm_shell_impact	wh_main_weapon_muzzle_flash_large	wh_main_weapon_trail_smoke_small				0.0000	false	wh_main_unit_launch_medium	wh_main_bounce_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
emp_light_mortar_shell	projectiles/wh_twm_emp_light_mortar_shell.rigid_model_v2	wh_main_weapon_cannonball_impact	wh_main_weapon_muzzle_flash_small	wh_main_weapon_trail_javelin				0.0000	false	wh_main_unit_launch_medium	wh_main_bounce_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
emp_modern_artillery_dummy_shot	projectiles\wh_twm_emp_7,7cm_cannon_shell.rigid_model_v2							0.0000	false									0.0010
emp_modern_rocket_150mm	projectiles/wh_twm_emp_modern_rocket_150mm.rigid_model_v2			wh_main_weapon_trail_rocket_medium				0.0000	false	wh_main_unit_launch_medium	wh_main_impact_very_small	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
emp_modern_rocket_50mm	projectiles/wh_twm_emp_modern_rocket_50mm.rigid_model_v2			wh_main_weapon_trail_rocket_medium				0.0000	false	wh_main_unit_launch_medium	wh_main_impact_very_small	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
wh_emp_deployable_flame_thrower_burst		wh_main_chs_hellcannon		wh2_main_sun_dragon_breath_trail				0.0000	false							wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	2.0000
wh_emp_flame_thrower_burst			wh_main_weapon_flamethrower_beam					0.0000	false							wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
wh_emp_fragmentation_grenade_ball	projectiles/wh_twm_emp_fragmentation_grenade_ball.rigid_model_v2	wh_main_impact_medium		wh_main_weapon_trail_javelin				0.0000	false	wh_main_unit_launch_light	wh_main_impact_small	wh_main_entity_impact						1.0000
wh_emp_fragmentation_grenade_egg	projectiles/wh_twm_emp_fragmentation_grenade_egg.rigid_model_v2	wh_main_impact_medium		wh_main_weapon_trail_javelin				0.0000	false	wh_main_unit_launch_light	wh_main_impact_small	wh_main_entity_impact						1.0000
wh_emp_fragmentation_grenade_stick	projectiles/wh_twm_emp_fragmentation_grenade_stick.rigid_model_v2	wh_main_impact_medium		wh_main_weapon_trail_javelin				0.0000	false	wh_main_unit_launch_light	wh_main_impact_small	wh_main_entity_impact						1.0000
wh_emp_gas_thrower_burst			wh2_main_forest_dragon_breath_muzzle	wh2_main_forest_dragon_breath_trail				0.0000	false							wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
wh_emp_hand_grenade	projectiles\wh_twm_emp_hand_grenade.rigid_model_v2	wh_main_impact_small		wh_main_weapon_trail_javelin				0.0000	false	wh_main_unit_launch_light	wh_main_impact_small	wh_main_entity_impact						1.0000
wh_emp_magic_rifle_bullet_bright_magic	projectiles/wh_twm_emp_magic_rifle_bullet.wsmodel	wh_main_spell_fire_piercing_bolts_of_burning	wh_main_weapon_muzzle_flash_small	wh_main_fire_piercing_bolts_of_burning_bomb_trail				0.0000	false		wh_main_impact_very_small	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
wh_emp_magic_rifle_bullet_celestial_magic	projectiles/wh_twm_emp_magic_rifle_bullet.wsmodel	wh_main_spell_heavens_urannons_thunderbolt	wh_main_weapon_muzzle_flash_small	wh2_dlc10_sisterofavalorn_trail				0.0000	false		wh_main_impact_very_small	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
wh_emp_magic_rifle_bullet_death_magic	projectiles/wh_twm_emp_magic_rifle_bullet.wsmodel	wh2_dlc14_poisoned_wind_mortar_ror_shrapnel	wh_main_weapon_muzzle_flash_small	wh2_dlc14_poisoned_wind_mortar_ror_shrapnel_trail				0.0000	false		wh_main_impact_very_small	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
wh_emp_magic_rifle_bullet_light_magic	projectiles/wh_twm_emp_magic_rifle_bullet.wsmodel	wh_main_spell_light_shems_burning_gaze	wh_main_weapon_muzzle_flash_small	wh_main_light_shems_burning_gaze_trail				0.0000	false		wh_main_impact_very_small	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
wh_emp_magic_rifle_bullet_metal_magic	projectiles/wh_twm_emp_magic_rifle_bullet.wsmodel	wh_dlc05_impact_wef_arrow_starfire	wh_main_weapon_muzzle_flash_small	wh_dlc05_wef_starfire_arrow_trail				0.0000	false		wh_main_impact_very_small	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
wh_emp_rifle_grenade_early	projectiles/wh_twm_emp_rifle_grenade_early.rigid_model_v2			wh_main_weapon_trail_rifle				0.0000	false	wh_main_unit_launch_light	wh3_main_arrow_bounce	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
wh_emp_shotgun_bullet	projectiles/wh_twm_emp_shotgun_bullet.rigid_model_v2	wh_main_impact_very_small	wh_main_weapon_muzzle_flash_small	wh_main_weapon_trail_rifle				0.0000	false		wh_main_impact_very_small	wh_main_impact_very_small				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
wh_emp_vehicle_flame_thrower_burst			wh2_main_sun_dragon_breath_muzzle	wh2_main_sun_dragon_breath_trail				0.0000	false							wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
wh_shell_explosion_fragment	projectiles/wh_shell_explosion_fragment.rigid_model_v2							0.0000	false									0.5000
wh_twm_7,92mm_SmK_bullet	projectiles/wh_twm_7,92mm_smk_bullet.rigid_model_v2	wh_main_impact_very_small	wh_main_weapon_muzzle_flash_small	wh3_dlc25_nuln_ironsides_ror_rifle_trail				0.0000	false		wh_main_impact_very_small	wh_main_impact_very_small				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
wh_twm_7,92mm_blessed_bullet	projectiles/wh_twm_7,92mm_bullet.rigid_model_v2	wh_main_impact_very_small	wh_main_weapon_muzzle_flash_small	wh_dlc05_wef_starfire_arrow_trail				0.0000	false		wh_main_impact_very_small	wh_main_impact_very_small				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
wh_twm_7,92mm_bullet	projectiles/wh_twm_7,92mm_bullet.rigid_model_v2	wh_main_impact_very_small	wh_main_weapon_muzzle_flash_small	wh_main_weapon_trail_rifle				0.0000	false		wh_main_impact_very_small	wh_main_impact_very_small				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
