key	display_model	impact	launch_fx	trail_fx	stationary_fx	airborne_anim	landing_anim	tip_offset	trail_spin	launch_camera_shake	impact_bounce	impact_penetrate	impact_blood	impact_bounce_blood	impact_penetrate_blood	mirroring_start	mirroring_trail	scale
#projectile_displays_tables;12;db/projectile_displays_tables/!!!!!!!double_projectile_velocity_compat_!scm_totn
eyri_jag	variantmeshes/wh_variantmodels/character/eyri/daggerthrow.rigid_model_v2	wh_main_impact_small		wh2_dlc12_machine_rattling_gun_trail				0.0000	false		wh3_main_arrow_bounce	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	3.0000
eyri_jag_killshot	variantmeshes/wh_variantmodels/character/eyri/daggerthrow.rigid_model_v2	wh_main_impact_large	wh2_dlc12_machine_warp_rifle_launch	wh2_dlc12_machine_rattling_gun_trail				0.0000	false		wh3_main_arrow_bounce	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	3.0000
eyri_jag_killshot_multi	variantmeshes/wh_variantmodels/character/eyri/daggerthrow.rigid_model_v2	wh_main_impact_medium		wh2_dlc12_machine_rattling_gun_trail				0.0000	false		wh3_main_arrow_bounce	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	2.5000
hkrul_beorg	projectiles/chs_marauder_axe_throwing_1h_01_projectile.wsmodel	wh_main_impact_small		wh_main_weapon_trail_arrow_medium				-0.1500	false		wh_main_bounce_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
hkrul_haraldur_killshot	projectiles/chs_marauder_javelin_1h_01_projectile.wsmodel	wh_main_impact_large		wh_main_weapon_trail_dark_magic				0.0000	false		wh_main_impact_small	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	3.0000
hkrul_khorne_bomb		hkrul_khorne_bomb		hkrul_khorne_bomb_trail				0.0000	false	wh_main_unit_launch_light	hkrul_khorne_bomb	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_large	wh3_main_spell_yin_missile_mirror_trail_large	1.0000
hkrul_mermedus	variantmeshes\wh_variantmodels\character\shark2\harpoonprojectile.rigid_model_v2	wh_main_impact_medium		wh_main_weapon_trail_javelin				-0.1500	false		wh_main_bounce_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.6000
hkrul_norsca_harpoon_ror	projectiles/nor_bolt_02.rigid_model_v2	wh_main_impact_medium		wh_main_weapon_trail_arrow_medium				0.0000	false		wh3_main_arrow_bounce	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
hkrul_norsca_whalers	projectiles/phy_whaler_harpoon_1h_01_projectile.wsmodel	wh_main_impact_very_small		wh_main_weapon_trail_javelin				-0.1500	false		wh_main_bounce_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
hkrul_oda_spear	projectiles/wh_bst_amber_spear.wsmodel	wh_dlc03_beasts_amber_spear_impact		hkrul_oda_spear				0.0000	false		wh_main_impact_small	wh_dlc03_beasts_amber_spear_impact	wh_dlc03_beasts_amber_spear_impact			wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
hkrul_olg_spit		hkrul_olg_spit		hkrul_olg_spit_trail				0.0000	false	wh_main_unit_launch_light		hkrul_olg_spit				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
sarl_projectile_arrow	projectiles\sarl_projectile_arrow.rigid_model_v2	arrow		wh_main_weapon_trail_arrow_small				-0.0500	false		wh3_main_arrow_bounce	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
