key	display_model	impact	launch_fx	trail_fx	stationary_fx	airborne_anim	landing_anim	tip_offset	trail_spin	launch_camera_shake	impact_bounce	impact_penetrate	impact_blood	impact_bounce_blood	impact_penetrate_blood	mirroring_start	mirroring_trail	scale
#projectile_displays_tables;12;db/projectile_displays_tables/!!!!!!!double_projectile_velocity_compat_@whc_cth_unit_wuh_
cth_east_mingqing_jade_crossbow_bee	projectiles/cth_mingqing_peasant_firework_projectile.wsmodel	wh_dlc07_weapon_burning_arrow		wh2_dlc13_weapon_fire_arrow_trail				0.0000	false		wh_main_bounce_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
cth_east_mingqing_jade_hudun_cannon_ball	projectiles\bomb_nangao.rigid_model_v2	wh3_main_ogr_lead_belcher_impact		wh3_main_ogr_lead_belcher_trail				0.0000	false	wh_main_unit_launch_medium	wh_main_bounce_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
cth_east_mingqing_jade_tuhuo_roc	projectiles\wh_dwf_rifle_bullet.rigid_model_v2	wh_main_weapon_flamethrower_impact		wh2_dlc13_weapon_fire_arrow_trail				0.0000	false		wh_main_impact_very_small	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.1000
cth_east_mingqing_longwei_pro_huolong_roc	projectiles\cth_mingqing_longwei_pro_huolong_projectile.wsmodel	wh_main_weapon_flamethrower_impact		cth_east_mingqing_longwei_pro_huolong_roc_trail				0.0000	false	wh_main_unit_launch_medium	wh_main_impact_very_small	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
cth_east_mingqing_minzu_pochengzhui_jav	projectiles/cth_mingqing_minzu_javelin_projectile.wsmodel	wh_main_impact_very_small		wh_main_weapon_trail_javelin				-0.1500	false		wh_main_bounce_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
cth_east_mingqing_peasant_bow_ar	projectiles/cth_mingqing_peasant_firework_projectile.wsmodel	wh_dlc07_weapon_burning_arrow		wh_dlc07_weapon_trail_arrow_burning_small				-0.0500	false		wh3_main_arrow_bounce	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
cth_north_suitang_longwei_bow_ar	projectiles\wef_glade_guard_arrow_starfire.wsmodel	wh_dlc05_impact_wef_arrow_starfire		wh_dlc05_wef_starfire_arrow_trail				-0.0500	false		wh3_main_arrow_bounce	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
cth_sanyanchong_rocket	projectiles\wh_dwf_rifle_bullet.rigid_model_v2	wh_main_weapon_flamethrower_impact	wh_main_weapon_muzzle_flash_large	wh2_dlc13_weapon_fire_arrow_trail				0.0000	false	wh_main_unit_launch_light	wh_main_impact_very_small	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.5000
cth_south_songyuan_peasant_bow_ar	projectiles/cth_songyuan_peasant_poison_projectile.rigid_model_v2	wh_dlc07_weapon_pox_arrow		wh_dlc07_weapon_trail_arrow_poison_small				-0.0500	false		wh3_main_arrow_bounce	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
cth_south_songyuan_peasant_hunter_traps	projectiles/cth_songyuan_peasant_traps.rigid_model_v2	wh_main_impact_very_small		wh_main_weapon_trail_arrow_small				0.0000	false		wh3_main_arrow_bounce	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
cth_west_qinhan_jade_choku_crossbow_ar	projectiles\cth_celestial_guard_crossbow_bolt_01_projectile.wsmodel	wh2_dlc13_weapon_fire_arrow		wh_dlc07_weapon_trail_arrow_burning_small				-0.0800	false		wh3_main_arrow_bounce	wh2_dlc13_entity_fire_impact_penetrate				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
cth_zhentianlei	projectiles\bomb_nangao.rigid_model_v2			wh_dlc07_weapon_trail_arrow_burning_small				0.0000	false	wh_main_unit_launch_light	wh3_main_arrow_bounce	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
