key	display_model	impact	launch_fx	trail_fx	stationary_fx	airborne_anim	landing_anim	tip_offset	trail_spin	launch_camera_shake	impact_bounce	impact_penetrate	impact_blood	impact_bounce_blood	impact_penetrate_blood	mirroring_start	mirroring_trail	scale
#projectile_displays_tables;12;db/projectile_displays_tables/!!!!!!!double_projectile_velocity_compat_The_Gunpowder_Road2.
cth_dajiangjunpao	projectiles\wh_emp_cannon_ball.rigid_model_v2	wh_main_weapon_cannonball_impact	br_web_art_great_can_front_and_lingering	wh_main_weapon_trail_smoke_medium				0.0000	false	br_great_can	wh_main_bounce_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
cth_huolongchushui	warmachines/engines/cth_huolongchushui_fashezhendi/cth_huolongchushui_project02.rigid_model_v2	wh_main_weapon_cannonball_impact		rocket_huolongchushui_trail				0.0000	false	wh_main_unit_launch_medium	wh_main_impact_very_small	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
cth_mielupao	projectiles\wh_emp_volley_gun_shot.rigid_model_v2	wh_main_impact_small		wh_main_weapon_trail_rifle				0.0000	false	br_helblaster	wh_main_impact_small	wh_main_impact_small				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
cth_pinfengche_cannon_shot	projectiles\wh_emp_volley_gun_shot.rigid_model_v2	wh_main_impact_small	wh_main_weapon_muzzle_flash_small	wh_main_weapon_trail_rifle				0.0000	false	wh_main_unit_launch_medium	wh_main_impact_small	wh_main_impact_small				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
cth_sky_junk_cannon_ball	projectiles/cth_grand_cannon_projectile_01.wsmodel	wh_main_weapon_cannonball_impact	br_web_art_grand_can_front_and_lingering	wh3_main_cth_grand_cannon_trail				0.0000	false	br_great_can	wh_main_bounce_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	0.6000
cth_sky_junk_gunturret_bullet	projectiles\emp_rifle_bullet_tracer.rigid_model_v2	wh_main_impact_very_small		wh_main_weapon_trail_cth_sky_junk_gunturret_br				0.0000	false	br_rifle	wh_main_impact_very_small	wh_main_impact_very_small				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
cth_sky_junk_menghuoyougui		wh3_dlc25_irondrakes_flamethrower_v2_impact	wh3_dlc25_flame_cannons_v2_muz	cth_sky_junk_menghuoyougui_projectile				0.0000	false		wh_main_weapon_flame_cannon_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
cth_sky_lantern_flying_crow	warmachines/aircraft/cth_sky_lantern_ror/cth_sky_lantern_flying_crow_projectile.rigid_model_v2			flying_crow_projectile_trail				0.0000	false	wh_main_unit_launch_light						wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
cth_sky_lantern_flying_crow_grenade	projectiles\wh_dwf_copter_bomb.rigid_model_v2	wh_main_unit_abilities_gyrocopter_grenade		wh_main_weapon_trail_arrow_medium				0.0000	false		wh3_main_arrow_bounce	wh_main_unit_abilities_gyrocopter_grenade				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
cth_sky_lantern_turret_bullet	projectiles\emp_rifle_bullet_tracer.rigid_model_v2	wh_main_impact_very_small	br_web_repeater_rifle	wh_main_weapon_trail_cth_sky_junk_gunturret_br				0.0000	false	br_rifle	wh_main_impact_very_small	wh_main_impact_very_small				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
cth_wankouchong	projectiles\wh_emp_mortar.rigid_model_v2	wh_main_emp_mortar_impact	br_web_art_wankouchong	wh_main_weapon_trail_mortar				0.0000	false	br_great_can	wh_main_bounce_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
murenhuoma_shrapnel_projectile	projectiles\wh_emp_grenade.rigid_model_v2			wh_main_weapon_trail_smoke_medium				0.0000	false	wh_main_unit_launch_light	wh3_main_arrow_bounce	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
rocket_huolongchushui_zi_projectile_display	rocket_mid.rigid_model_v2	wh_main_impact_medium		rocket_huolongchushui_zi_projectile_trail				0.0000	true	wh_main_unit_launch_medium	wh_main_impact_small	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
wh3_cth_rifle_repeater_trail	projectiles\emp_rifle_bullet_tracer.rigid_model_v2	wh_main_impact_very_small		wh_main_cth_trail_repeater_br				0.0000	false		wh_main_impact_very_small	wh_main_impact_very_small				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
wh3_dlc25_dwf_flame_cannon_blast_shrapnel		wh3_dlc25_flame_cannons_v2_impact	wh3_cth_huolongjuandiche_flame	wh3_dlc25_flame_cannons_v2_projectile				0.0000	false	wh_main_unit_launch_medium	wh_main_weapon_flame_cannon_impact	wh_main_weapon_flame_cannon_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	0.7500
wh3_main_cth_rocket	projectiles/cth_fire_rain_rocket_battery_projectile_02.wsmodel			wh_main_weapon_trail_rocket_medium				0.0000	false	wh_main_unit_launch_medium	wh_main_impact_very_small	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
wh3_main_cth_rocket_huojianliu	rocket_mid.rigid_model_v2	wh_main_impact_medium		rocket_huojianliu_projectile_trail				0.0000	true	wh_main_unit_launch_medium	wh_main_impact_small	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
wh3_main_cth_rocket_mid	rocket_mid.rigid_model_v2	wh_main_impact_medium		rocket_mid_projectile_trail				0.0000	true	wh_main_unit_launch_medium	wh_main_impact_small	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
wh3_main_cth_rocket_small	rocket_small.rigid_model_v2	wh2_dlc13_weapon_fire_arrow		rocket_small_projectile_trail				0.0000	true		wh_main_rocket_small_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
wh3_main_cth_rocket_small2	rocket_small.rigid_model_v2	wh_dlc07_weapon_burning_arrow		rocket_small_projectile_trail				0.0000	false							wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
wh3_main_cth_rocket_small_huoxiangche	rocket_small.rigid_model_v2	wh2_dlc13_weapon_fire_arrow		rocket_small_projectile_trail_huoxiangche				0.0000	true		wh_main_rocket_small_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
wh_cth_rifle_bullet	projectiles\wh_dwf_rifle_bullet.rigid_model_v2	wh_main_impact_very_small		wh_main_cth_weapon_trail_rifle				0.0000	false		wh_main_impact_very_small	wh_main_impact_very_small				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
wh_emp_rocket	projectiles\wh_emp_rocket.rigid_model_v2			wh_main_weapon_trail_rocket_medium				0.0000	false	wh_main_unit_launch_medium	wh_main_impact_very_small	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
wh_emp_sunmaker_rocket	projectiles\emp_helstorm_sunmaker_rocket_01.rigid_model_v2			wh_main_weapon_trail_rocket_medium				0.0000	false	wh_main_unit_launch_medium	wh_main_impact_very_small	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
