key	display_model	impact	launch_fx	trail_fx	stationary_fx	airborne_anim	landing_anim	tip_offset	trail_spin	launch_camera_shake	impact_bounce	impact_penetrate	impact_blood	impact_bounce_blood	impact_penetrate_blood	mirroring_start	mirroring_trail	scale
#projectile_displays_tables;12;db/projectile_displays_tables/!!!!!!!double_projectile_velocity_compat_dog
cst_baby_bess_rocket_real	projectiles\wh_emp_mortar.rigid_model_v2	cst_baby_bess_rocket_real	wh3_dlc24_hag_witch_shadow_attk_launch_coast	wh3_dlc23_lamassu_trail_mix				0.0000	false	wh_main_unit_launch_medium	wh_main_bounce_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	0.5000
cst_baby_bess_rocket_real_old	projectiles\wh_emp_cannon_ball.rigid_model_v2	wh_main_weapon_cannonball_impact	wh3_dlc23_iron_daemon_flamethrow_muz	wh_main_weapon_trail_smoke_medium		wh3_dlc23_lamassu_trail		0.0000	false	wh_main_unit_launch_medium	wh_main_bounce_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
cst_boarding	projectiles\wh_dwf_rifle_bullet.rigid_model_v2	wh_main_impact_small	br_web_rifle_empire_smoke_combined	wh_main_weapon_trail_rifle_swoogy				0.0000	false		wh_main_impact_very_small	wh_main_impact_small				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
cst_boarding_human	projectiles\wh_dwf_rifle_bullet.rigid_model_v2	wh_main_impact_small	wh_main_weapon_muzzle_flash_large	wh_main_weapon_trail_rifle				0.0000	false		wh_main_impact_very_small	wh_main_impact_very_small				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
cst_commander_pistol	projectiles\wh_dwf_rifle_bullet.rigid_model_v2	wh_main_impact_small	new_mob_launch_big	wh_main_weapon_trail_rifle_swoogy_big				0.0000	false	wh_main_unit_launch_medium	wh_main_impact_very_small	wh_main_impact_very_small				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
cst_corsairs	projectiles\wh_dwf_rifle_bullet.rigid_model_v2	wh_main_impact_small	br_web_rifle_empire_smoke_combined	wh_main_weapon_trail_rifle_swoogy				0.0000	false		wh_main_impact_very_small	wh_main_impact_small				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
cst_deadeye	projectiles\wh_dwf_rifle_bullet.rigid_model_v2	wh_main_impact_small	wh2_dlc11_weapon_gunners_ethereal_muzzle_flash_coast	trail_mobs_deadeye				0.0000	false		wh_main_impact_very_small	wh_main_impact_very_small				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
cst_deadeye_blunderbus	projectiles\wh_dwf_rifle_bullet.rigid_model_v2	wh_main_impact_small	wh3_dlc23_entity_infernal_castellan_muzzle_flash	wh3_dlc23_fireglaive_trail				0.0000	false		wh_main_impact_very_small	wh_main_impact_very_small				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
cst_deadeye_full_blunderbuss	projectiles\wh_dwf_rifle_bullet.rigid_model_v2	wh_main_impact_small	wh3_dlc23_entity_infernal_castellan_muzzle_flash	deadeye_blunderbus_drazhoath_spark				0.0000	false		wh_main_impact_very_small	wh_main_impact_very_small				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	0.3000
cst_deadeye_full_rifle	projectiles\wh_dwf_rifle_bullet.rigid_model_v2	wh_main_impact_small	wh3_main_entity_ogr_pistol_muzzle	trail_mobs_deadeye				0.0000	false		wh_main_impact_very_small	wh_main_impact_very_small				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
cst_deadeye_sniper	projectiles\emp_rifle_bullet_tracer.rigid_model_v2	wh3_dlc25_nuln_ironsides_ror_rifle_impact		wh3_dlc25_nuln_ironsides_ror_rifle_trail				0.0000	false		wh3_dlc25_nuln_ironsides_ror_rifle_impact	wh3_dlc25_nuln_ironsides_ror_rifle_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
cst_deadeye_sniper_ror	projectiles\emp_rifle_bullet_tracer.rigid_model_v2	wh3_dlc25_nuln_ironsides_ror_rifle_impact		wh3_dlc25_nuln_ironsides_ror_rifle_trail				0.0000	false		wh3_dlc25_nuln_ironsides_ror_rifle_impact	wh3_dlc25_nuln_ironsides_ror_rifle_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
cst_deck_flamer_rider		wh_main_weapon_flamethrower_impact	wh3_dlc23_iron_daemon_flamethrow_muz	wh3_dlc23_iron_daemon_flamethrow				0.0000	false			wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
cst_deck_gunners_mortars	projectiles\wh_emp_mortar.rigid_model_v2	wh_main_emp_mortar_impact		wh_main_weapon_trail_mortar				0.0000	false	wh_main_unit_launch_medium	wh_main_bounce_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	0.4000
