key	display_model	impact	launch_fx	trail_fx	stationary_fx	airborne_anim	landing_anim	tip_offset	trail_spin	launch_camera_shake	impact_bounce	impact_penetrate	impact_blood	impact_bounce_blood	impact_penetrate_blood	mirroring_start	mirroring_trail	scale
#projectile_displays_tables;12;db/projectile_displays_tables/!!!!!!!double_projectile_velocity_compat_ovn_araby
arb_javelin_projectile	projectiles/arb_javelin.wsmodel	wh_main_impact_very_small		wh_main_weapon_trail_javelin				-0.1500	false		wh_main_bounce_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
arb_napthta_bomb	projectiles/arb_naphtha_pot.wsmodel			wh2_dlc13_weapon_fire_arrow_trail				0.0000	false		wh_main_bounce_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
ovn_arb_efreet_asscannon_projectiledisplay	projectiles/arb_efreet_assrock.wsmodel	wh_main_impact_very_large	wh_main_weapon_muzzle_flash_large	wh_main_weapon_flame_cannon_trail				0.0000	false		wh_main_weapon_flame_cannon_impact	wh_main_weapon_flame_cannon_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
ovn_arb_grand_bombard_projectile	projectiles\ovn_arb_grand_bombard_projectile_01.wsmodel	wh3_main_ksl_little_grom_impact	wh_main_weapon_muzzle_flash_large	wh_main_weapon_trail_smoke_large				0.0000	false	wh_main_unit_launch_heavy	wh_main_bounce_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
ovn_arb_grand_bombard_projectile_ror	projectiles\ovn_arb_grand_bombard_projectile_01.wsmodel	wh_main_weapon_flame_cannon_impact	wh_main_weapon_muzzle_flash_large	wh_main_fire_fireball_trail				0.0000	false	wh_main_unit_launch_heavy	wh_main_weapon_flame_cannon_impact	wh_main_weapon_flame_cannon_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
ovn_arb_handbow_hashishin	projectiles/arb_hashishin_handbow_bolt_01.wsmodel	arrow		wh_main_weapon_trail_arrow_small				-0.0500	false		wh3_main_arrow_bounce	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
ovn_arb_quadballista_bolt	projectiles/arb_quadballista_bolt.wsmodel	wh_main_impact_medium		wh_main_weapon_trail_arrow_medium				-0.0200	false		wh3_main_arrow_bounce	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
ovn_arb_quadballista_bolt_ror	projectiles/arb_quadballista_bolt.wsmodel	wh_main_impact_medium		wh2_main_weapon_trail_eagleclaw_bolt				-0.0200	false		wh3_main_arrow_bounce	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
ovn_arb_tempest_djinn_shot		wh_main_bound_spell_solheims_bolt_of_illumination	wh_main_bolt_of_illumination_launch	wh_main_bolt_of_illumination				0.0000	false	wh_main_unit_launch_light	wh_main_bound_spell_solheims_bolt_of_illumination	wh_main_bound_spell_solheims_bolt_of_illumination				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
ovn_arb_tempest_djinn_shot_ror		wh_main_bound_spell_solheims_bolt_of_illumination	wh_main_bolt_of_illumination_launch_tempest_ror	wh_main_bolt_of_illumination_tempest_ror				0.0000	false	wh_main_unit_launch_light	wh_main_bound_spell_solheims_bolt_of_illumination	wh_main_bound_spell_solheims_bolt_of_illumination				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
ovn_skiff_bomb								0.0000	false		wh_main_bounce_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
