key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	can_damage_allies	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles	building_damage_multiplier	scaling_damage	is_spell	vegetation_ignore_time	missile_mirror_start_time	spawned_vortex	projectile_shot_type_display
#projectiles_tables;53;db/projectiles_tables/!!!!!!!double_projectile_velocity_compat_!!scm_motm
blaut_food_bird_1_grill_throwing	grenade	explosives	wh_main_dwf_blasting_charge_explosion	grenade_spin	1	dual_low_fixed	55	7	88	56.0	10.0000	0.0000	1	0	true	false	0.2000	9.0000	50.0000	2.0000	0	6	grill_throwing		wh_miners_blasting_charge	-1.0000	false		-1.0000	1	0.0000	3.0000			1.0000	false	false	true	55	very_low	-1	false	false	true	false	1	false	false	false	false	4.5000		false	1.5000	0.4000		placeholder
blaut_food_bird_1_slings	grenade	small_arm_default		grenade_spin	1	dual_low_fixed	120	0	88	100.0	10.0000	0.0000	8	1	false	false	0.1000	9.0000	85.0000	4.8000	0	6	wh2_main_skv_sling_bullet		wh2_slingshot_rock_small	-1.0000	false		-1.0000	1	0.0000	1.0000			0.0000	false	true	true	50	very_low	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.8400	0.4000		placeholder
blaut_food_bird_1_throwing_dagger	axe	small_arm_default		axe_spin	1	dual_low_fixed	70	0	88	64.0	10.0000	0.0000	10	2	false	false	0.1000	8.0000	40.0000	2.7000	0	6	wh3_main_ogr_gnoblar_throwing_dagger		wh3_throwing_knife	-1.0000	false		-1.0000	1	0.0000	2.0000			0.0000	false	true	true	50	low	200	false	false	false	false	1	false	false	false	false	0.5000		false	1.3000	0.4000		placeholder
blaut_food_bird_1_throwing_dagger_ror	axe	small_arm_default		axe_spin	1	dual_low_fixed	70	0	88	64.0	10.0000	0.0000	10	2	false	false	0.1000	8.0000	40.0000	2.7000	0	6	wh3_main_ogr_gnoblar_throwing_dagger		wh3_throwing_knife	-1.0000	false	wh_main_unit_contact_poison	-1.0000	1	0.0000	2.0000			0.0000	false	true	true	50	low	200	false	false	false	false	1	false	false	false	false	0.5000		false	1.3000	0.4000		placeholder
blaut_food_bird_2_grill_throwing	grenade	explosives	wh_main_dwf_drakegun_explosion	grenade_spin	1	dual_low_fixed	55	7	88	56.0	10.0000	0.0000	1	0	true	false	0.2000	9.0000	50.0000	2.0000	0	0	grill_throwing		wh_miners_blasting_charge	-1.0000	false		-1.0000	1	0.0000	3.0000			1.0000	false	false	true	55	very_low	-1	false	false	true	false	1	false	false	false	false	4.5000		false	1.5000	0.4000		placeholder
blaut_food_bird_2_slings	grenade	small_arm_default	wh2_dlc15_grn_arrow_explosion	grenade_spin	1	dual_low_fixed	120	0	88	100.0	10.0000	0.0000	8	1	false	false	0.1000	9.0000	85.0000	4.8000	0	0	wh2_main_skv_sling_bullet		wh2_slingshot_rock_small	-1.0000	false		-1.0000	1	0.0000	1.0000			0.0000	false	true	true	50	very_low	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.8400	0.4000		placeholder
blaut_food_bird_2_throwing_dagger	axe	small_arm_default	wh2_dlc15_grn_arrow_explosion	axe_spin	1	dual_low_fixed	70	0	88	64.0	10.0000	0.0000	10	2	false	false	0.1000	8.0000	40.0000	2.7000	0	0	wh3_main_ogr_gnoblar_throwing_dagger		wh3_throwing_knife	-1.0000	false		-1.0000	1	0.0000	2.0000			0.0000	false	true	true	50	low	200	false	false	false	false	1	false	false	false	false	0.5000		false	1.3000	0.4000		placeholder
blaut_food_bird_2_throwing_dagger_ror	axe	small_arm_default	wh2_dlc15_grn_arrow_explosion	axe_spin	1	dual_low_fixed	70	0	88	64.0	10.0000	0.0000	10	2	false	false	0.1000	8.0000	40.0000	2.7000	0	0	wh3_main_ogr_gnoblar_throwing_dagger		wh3_throwing_knife	-1.0000	false	wh_main_unit_contact_poison	-1.0000	1	0.0000	2.0000			0.0000	false	true	true	50	low	200	false	false	false	false	1	false	false	false	false	0.5000		false	1.3000	0.4000		placeholder
blaut_food_bird_3_grill_throwing	grenade	explosives	wh_main_dwf_blasting_charge_explosion	grenade_spin	2	dual_low_fixed	55	7	88	56.0	10.0000	2.0000	1	0	true	false	0.2000	9.0000	50.0000	2.0000	0	0	grill_throwing		wh_miners_blasting_charge	-1.0000	false		-1.0000	1	0.0000	3.0000			1.0000	false	false	true	55	very_low	-1	false	false	true	false	1	false	false	false	true	4.5000		false	1.5000	0.4000		placeholder
