effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/land_encounters_and_points_of_interest				
land_enc_effect_abandoned_camp	wh_main_effect_force_all_campaign_replenishment_rate	character_to_force_own	8.0000	end_turn_completed
land_enc_effect_abandoned_camp	wh_main_effect_force_all_campaign_movement_range	character_to_force_own	8.0000	end_turn_completed
land_enc_effect_abandoned_camp	wh3_main_effect_character_experience_per_turn_hidden	force_to_general_own	100.0000	start_turn_completed
land_enc_effect_abandoned_camp	wh3_main_effect_character_experience_per_turn	force_to_character_own	100.0000	start_turn_completed
land_enc_effect_hidden_temple	wh_main_effect_character_stat_unit_health	character_to_force_own	8.0000	end_turn_completed
land_enc_effect_hidden_temple	wh_main_effect_force_stat_ward_save	character_to_force_own	4.0000	end_turn_completed
land_enc_effect_hidden_temple	wh3_main_effect_character_experience_per_turn_hidden	force_to_general_own	250.0000	start_turn_completed
land_enc_effect_hidden_temple	wh3_main_effect_character_experience_per_turn	force_to_character_own	250.0000	start_turn_completed
land_enc_effect_legendary_bard	wh_main_effect_building_construction_cost_mod	faction_to_province_own	-30.0000	start_turn_completed
land_enc_effect_legendary_bard	wh_main_effect_economy_gdp_mod_all	faction_to_province_own	10.0000	start_turn_completed
land_enc_effect_whispers_of_the_gods	wh2_dlc10_effect_attribute_enable_perfect_vigour	force_to_force_own	1.0000	start_turn_completed
land_enc_effect_whispers_of_the_gods	wh_main_effect_attribute_enable_unbreakable	force_to_force_own	1.0000	start_turn_completed
land_enc_effect_whispers_of_the_gods	wh3_main_effect_character_experience_per_turn_hidden	force_to_general_own	500.0000	start_turn_completed
land_enc_effect_whispers_of_the_gods	wh3_main_effect_character_experience_per_turn	force_to_character_own	500.0000	start_turn_completed
land_enc_effect_the_explorer	wh_main_effect_force_army_campaign_ambush_defence_success_chance	character_to_force_own	16.0000	start_turn_completed
land_enc_effect_the_explorer	wh_main_effect_force_army_campaign_attrition_all_immunity	character_to_force_own	1.0000	start_turn_completed
land_enc_effect_the_explorer	wh_main_effect_force_all_campaign_movement_range	character_to_force_own	16.0000	start_turn_completed
land_enc_effect_battle_won_incursion_hef	wh_main_effect_character_stat_missile_resistance	character_to_force_own	16.0000	start_turn_completed
land_enc_effect_battle_won_incursion_hef	wh_main_effect_attribute_enable_stalk	character_to_force_own	1.0000	start_turn_completed
land_enc_effect_battle_won_incursion_lzd	wh_main_effect_force_stat_ward_save	character_to_force_own	8.0000	start_turn_completed
