agent	faction	subtype	mod_disabled
#faction_agent_permitted_subtypes_tables;1;db/faction_agent_permitted_subtypes_tables/land_encounters_and_points_of_interest			
general	wh3_main_cth_cathay_qb1	wh3_main_cth_lord_magistrate_yang	false
general	wh3_main_cth_cathay_qb1	wh3_main_cth_dragon_blooded_shugengan_yin	false
general	wh3_main_cth_cathay_qb1	wh3_main_cth_zhao_ming	false
general	wh3_main_cth_cathay_qb1	wh3_dlc24_cth_celestial_general_yin	false
general	wh3_main_cth_cathay_qb1	wh3_main_cth_lord_magistrate_yin	false
general	wh3_main_ksl_kislev_qb1	wh3_main_ksl_boyar	false
general	wh3_main_ogr_ogre_kingdoms_qb1	wh3_main_ogr_tyrant	false
general	wh3_main_ogr_ogre_kingdoms_qb1	wh3_main_ogr_slaughtermaster_beasts	false
general	wh3_main_nur_nurgle_qb1	wh3_main_nur_herald_of_nurgle_nurgle	false
general	wh3_main_tze_tzeentch_qb1	wh3_main_tze_herald_of_tzeentch_tzeentch	false
general	wh_main_emp_empire_qb1	wh_main_emp_lord	false
general	wh_main_emp_empire_qb1	wh2_dlc13_emp_cha_huntsmarshal	false
general	wh_main_emp_empire_qb1	wh_dlc04_emp_arch_lector	false
general	wh_dlc05_wef_wood_elves_qb1	wh_dlc05_wef_glade_lord	false
general	wh_dlc05_wef_wood_elves_qb1	wh2_dlc16_wef_spellweaver_life	false
general	wh_main_nor_norsca_qb1	wh_main_nor_marauder_chieftain	false
general	wh3_dlc23_chd_chaos_dwarfs_qb1	wh3_dlc23_chd_overseer	false
general	wh2_main_hef_high_elves_qb1	wh2_main_hef_princess	false
general	wh2_main_hef_high_elves_qb1	wh2_dlc15_hef_archmage_life	false
general	wh2_main_hef_high_elves_qb1	wh2_main_hef_teclis	false
general	wh2_main_hef_high_elves_qb1	wh2_dlc15_hef_eltharion	false
general	wh2_main_lzd_lizardmen_qb1	wh2_dlc12_lzd_tiktaqto	false
general	wh2_main_lzd_lizardmen_qb1	wh2_dlc12_lzd_tehenhauin	false
general	wh2_main_lzd_lizardmen_qb1	wh2_dlc17_lzd_oxyotl	false
general	wh2_main_lzd_lizardmen_qb1	wh2_dlc13_lzd_nakai	false
general	wh2_main_lzd_lizardmen_qb1	wh2_dlc13_lzd_slann_mage_priest_fire	false
general	wh2_main_lzd_lizardmen_qb1	wh2_main_lzd_saurus_old_blood	false
general	wh2_dlc11_cst_vampire_coast_qb1	wh2_dlc11_cst_cylostra	false
general	wh2_dlc11_cst_vampire_coast_qb1	wh2_dlc11_cst_admiral_fem_vampires	false
general	wh2_dlc11_cst_vampire_coast_qb1	wh2_dlc11_cst_admiral_fem_deep	false
general	wh_dlc03_bst_beastmen_qb1	wh_dlc05_bst_morghur	false
general	wh_dlc03_bst_beastmen_qb1	wh_dlc03_bst_khazrak	false
general	wh_dlc03_bst_beastmen_qb1	wh_dlc03_bst_beastlord	false
general	wh2_main_skv_skaven_qb1	wh2_dlc09_skv_tretch_craventail	false
general	wh2_main_skv_skaven_qb1	wh2_dlc12_skv_ikit_claw	false
general	wh2_main_skv_skaven_qb1	wh2_dlc12_skv_warlock_master	false
general	wh2_main_skv_skaven_qb1	wh2_dlc14_skv_master_assassin	false
general	wh_main_grn_greenskins_qb1	wh_dlc06_grn_skarsnik	false
general	wh_main_grn_greenskins_qb1	wh_dlc06_grn_wurrzag_da_great_prophet	false
general	wh_main_grn_greenskins_qb1	wh_main_grn_goblin_great_shaman	false
general	wh_main_grn_greenskins_qb1	wh_main_grn_orc_warboss	false
general	wh2_main_def_dark_elves_qb1	wh2_main_def_malekith	false
general	wh2_main_def_dark_elves_qb1	wh2_main_def_morathi	false
general	wh2_main_def_dark_elves_qb1	wh2_dlc14_def_malus_darkblade	false
general	wh2_main_def_dark_elves_qb1	wh2_dlc10_def_supreme_sorceress_fire	false
general	wh2_main_def_dark_elves_qb1	wh2_main_def_dreadlord_fem	false
general	wh_main_vmp_vampire_counts_qb1	wh_dlc04_vmp_helman_ghorst	false
general	wh_main_vmp_vampire_counts_qb1	wh_dlc04_vmp_vlad_con_carstein	false
general	wh_main_vmp_vampire_counts_qb1	wh_pro02_vmp_isabella_von_carstein	false
general	wh_main_vmp_vampire_counts_qb1	wh_main_vmp_heinrich_kemmler	false
general	wh_main_vmp_vampire_counts_qb1	wh2_dlc11_vmp_bloodline_lahmian	false
general	wh_main_vmp_vampire_counts_qb1	wh2_dlc11_vmp_bloodline_necrarch	false
general	wh2_dlc09_tmb_tombking_qb1	wh2_dlc09_tmb_khatep	false
general	wh2_dlc09_tmb_tombking_qb1	wh2_dlc09_tmb_settra	false
general	wh2_dlc09_tmb_tombking_qb1	wh2_dlc09_tmb_tomb_king	false
general	wh_main_dwf_dwarfs_qb1	wh2_pro08_neu_gotrek	false
dignitary	wh_main_dwf_dwarfs_qb1	wh2_pro08_neu_felix	false
general	wh3_main_kho_khorne_qb1	wh3_main_kho_skarbrand	false
champion	wh3_main_kho_khorne_qb1	wh3_dlc20_chs_exalted_hero_mkho	false
general	wh3_main_kho_khorne_qb1	wh3_dlc20_kho_valkia	false
colonel	wh3_main_kho_khorne_qb1	wh3_dlc20_chs_exalted_hero_mkho	false
general	wh3_main_kho_khorne_qb1	wh3_dlc20_chs_daemon_prince_khorne	false
dignitary	wh3_main_kho_khorne_qb1	wh3_main_kho_bloodreaper	false
general	wh3_main_kho_khorne_qb1	wh3_main_kho_exalted_bloodthirster	false
general	wh3_main_sla_slaanesh_qb1	wh3_dlc20_sla_azazel	false
champion	wh3_main_sla_slaanesh_qb1	wh_dlc05_vmp_vampire_shadow	false
colonel	wh3_main_sla_slaanesh_qb1	wh3_dlc20_chs_sorcerer_slaanesh_msla	false
general	wh3_main_sla_slaanesh_qb1	wh_dlc01_chs_prince_sigvald	false
dignitary	wh3_main_sla_slaanesh_qb1	wh3_dlc20_chs_sorcerer_shadows_msla	false
engineer	wh3_main_sla_slaanesh_qb1	wh3_main_sla_alluress_slaanesh	false
general	wh3_main_sla_slaanesh_qb1	wh3_main_sla_nkari	false
minister	wh3_main_sla_slaanesh_qb1	wh3_main_sla_alluress_shadow	false
general	wh3_main_sla_slaanesh_qb1	wh2_main_def_morathi	false
runesmith	wh3_main_sla_slaanesh_qb1	wh2_main_def_sorceress_fire	false
general	wh3_main_sla_slaanesh_qb1	wh3_main_sla_exalted_keeper_of_secrets_shadow	false
general	wh3_main_sla_slaanesh_qb1	wh3_main_sla_exalted_keeper_of_secrets_slaanesh	false
